"","source_id","metabolites","ontology"
"29222","kegg:C00626","PIP2(20:2(11Z,14Z)/16:0)","Blood"
"144842","kegg:C04230","LysoPC(24:0)","Blood"
"1491520","kegg:C00157","PC(16:0/22:1(13Z))","Blood"
"1678489","kegg:C00735","Hydrocortisone","Blood"
"1690118","kegg:C00422","TG(16:0/18:2(9Z,12Z)/18:2(9Z,1","Blood"
"1702016","kegg:C05298","2-Hydroxyestrone","Blood"
"1702610","kegg:C11251","CE(16:0)","Blood"
"1703011","kegg:C14641","CE(18:1(9Z))","Blood"
"1707941","kegg:C05504","Estriol-16-Glucuronide","Blood"
"1709565","kegg:C05503","17-beta-Estradiol-3-glucuronid","Blood"
"1711254","kegg:C11135","Androsterone glucuronide","Blood"
"1711363","kegg:C11131","2-Methoxy-estradiol-17b 3-gluc","Blood"
"1711423","kegg:C04300","Estradiol-17alpha 3-D-glucuron","Blood"
"1713353","kegg:C11346","16-alpha,17-beta-estriol 17-be","Blood"
"1718382","kegg:C11061","Retinoyl b-glucuronide","Blood"
"1723116","kegg:C07406","Propoxyphene","Blood"
"1723672","kegg:C07624","Abacavir","Blood"
"1724256","kegg:C07083","Styrene","Blood"
"1724279","kegg:C06687","Norfloxacin","Blood"
"1724913","kegg:C09642","Salsolinol","Blood"
"1725544","kegg:C16544","alpha-Hydroxytamoxifen","Blood"
"1726575","kegg:C01850","Rosmarinic acid","Blood"
"1726881","kegg:C18146","Oxychlordane","Blood"
"1727460","kegg:C00858","Formononetin","Blood"
"1728094","kegg:C00195","Ceramide (d18:1/18:0)","Blood"
"1729162","kegg:C07363","Oxymetazoline","Blood"
"1729331","kegg:C00708","Iodide","Blood"
"1729623","kegg:C04646","6-Thioinosine-5'-monophosphate","Blood"
"1730071","kegg:C06540","Rescinnamine","Blood"
"1730377","kegg:C07153","Tramadol","Blood"
"1730837","kegg:C16660","2-Ethyl-5-methyl-3,3-diphenyl-","Blood"
"1730970","kegg:C00084","Acetaldehyde","Blood"
"1732512","kegg:C16556","Aldoifosfamide","Blood"
"1733119","kegg:C00712","Oleic acid","Blood"
"1734429","kegg:C08353","Beta-D-ribopyranose","Blood"
"1735826","kegg:C01956","5-Hydroxypyrazinamide","Blood"
"1735862","kegg:C00390","QH2","Blood"
"1736250","kegg:C10084","Isorhamnetin","Blood"
"1736762","kegg:C00065","L-Serine","Blood"
"1737054","kegg:C00954","Indoleacetic acid","Blood"
"1737222","kegg:C03196","L-2-Hydroxyglutaric acid","Blood"
"1737538","kegg:C00429","Dihydrouracil","Blood"
"1737925","kegg:C07761","Cefalotin","Blood"
"1739308","kegg:C00788","Epinephrine","Blood"
"1740499","kegg:C07911","Phenylpropanolamine","Blood"
"1740705","kegg:C01864","Methoxsalen","Blood"
"1741010","kegg:C07641","Thiotepa","Blood"
"1742065","kegg:C07329","Iso-Valeraldehyde","Blood"
"1742078","kegg:C11142","Dimethyl sulfone","Blood"
"1742685","kegg:C07521","Thiopental","Blood"
"1743123","kegg:C07269","Nitroprusside","Blood"
"1743133","kegg:C14088","3-Cresotinic acid","Blood"
"1743754","kegg:C05433","Alpha-Carotene","Blood"
"1743886","kegg:C00979","O-Acetylserine","Blood"
"1744192","kegg:C01443","Ouabain","Blood"
"1745406","kegg:C13376","Cefpiramide","Blood"
"1745574","kegg:C05455","7a-Hydroxy-cholestene-3-one","Blood"
"1746012","kegg:C07517","Methoxyflurane","Blood"
"1747843","kegg:C06533","Papaverine","Blood"
"1749193","kegg:C07879","Dibucaine","Blood"
"1750394","kegg:C00489","Glutaric acid","Blood"
"1750554","kegg:C14780","11(R)-HETE","Blood"
"1750695","kegg:C08024","Hydrocodone","Blood"
"1750869","kegg:C06694","Fusidic Acid","Blood"
"1751316","kegg:C06802","Acarbose","Blood"
"1751425","kegg:C07626","Amodiaquine","Blood"
"1751485","kegg:C00311","Isocitric acid","Blood"
"1752201","kegg:C05588","L-Metanephrine","Blood"
"1752516","kegg:C00284","Edetic Acid","Blood"
