"source_id","metabolites","ontology"
"hmdb:HMDB0080257","CL(i-12:0/a-17:0/i-21:0/i-22:0","Blood"
"hmdb:HMDB0074065","CL(a-13:0/i-22:0/i-19:0/i-19:0","Blood"
"hmdb:HMDB0081064","CL(i-12:0/i-19:0/i-13:0/i-21:0","Blood"
"hmdb:HMDB0078371","CL(i-13:0/i-15:0/i-21:0/a-13:0","Blood"
"hmdb:HMDB0088768","CL(i-12:0/i-21:0/a-21:0/a-21:0","Blood"
"hmdb:HMDB0083312","CL(a-13:0/18:2(9Z,11Z)/a-17:0/","Blood"
"hmdb:HMDB0080836","CL(i-12:0/i-18:0/i-20:0/i-24:0","Blood"
"chebi:238698","Bevantolol","Blood"
"chemspider:2282","Bevantolol","Blood"
"hmdb:HMDB0015409","Bevantolol","Blood"
"CAS:59170-23-9","Bevantolol","Blood"
"pubchem:2372","Bevantolol","Blood"
"pubchem:37632","Adinazolam","Blood"
"chebi:251412","Adinazolam","Blood"
"hmdb:HMDB0014686","Adinazolam","Blood"
"CAS:37115-32-5","Adinazolam","Blood"
"chemspider:34519","Adinazolam","Blood"
"hmdb:HMDB0088222","CL(i-12:0/i-16:0/i-17:0/i-20:0","Blood"
"hmdb:HMDB0086293","CL(i-12:0/i-12:0/a-17:0/i-22:0","Blood"
"pubchem:53480292","PIP2(18:2(9Z,12Z)/18:1(9Z))","Blood"
"chemspider:24767955","PIP2(18:1(11Z)/18:3(6Z,9Z,12Z)","Blood"
"pubchem:53480286","PIP2(18:1(9Z)/20:3(8Z,11Z,14Z)","Blood"
"chemspider:24767830","PIP(18:0/18:1(11Z))","Blood"
"hmdb:HMDB0009815","PI(18:0/20:4(5Z,8Z,11Z,14Z))","Blood"
"pubchem:53480254","PIP2(18:0/18:1(9Z))","Blood"
"chemspider:24767957","PIP2(18:1(11Z)/20:1(11Z))","Blood"
"pubchem:53480291","PIP2(18:2(9Z,12Z)/18:1(11Z))","Blood"
"pubchem:53480278","PIP2(18:1(9Z)/18:0)","Blood"
"hmdb:HMDB0010099","PIP2(18:2(9Z,12Z)/18:0)","Blood"
"chemspider:24767994","PIP2(20:1(11Z)/18:1(9Z))","Blood"
"hmdb:HMDB0009813","PI(18:0/20:3(5Z,8Z,11Z))","Blood"
"hmdb:HMDB0010102","PIP2(18:2(9Z,12Z)/18:2(9Z,12Z)","Blood"
"pubchem:53480293","PIP2(18:2(9Z,12Z)/18:2(9Z,12Z)","Blood"
"hmdb:HMDB0010103","PIP2(18:2(9Z,12Z)/20:0)","Blood"
"pubchem:53480251","PIP2(18:0/16:1(9Z))","Blood"
"pubchem:53480238","PIP2(16:0/22:4(10Z,13Z,16Z,19Z","Blood"
"chemspider:24767958","PIP2(18:1(11Z)/20:3(5Z,8Z,11Z)","Blood"
"chemspider:24767905","PIP(22:4(10Z,13Z,16Z,19Z)/16:0","Blood"
"chemspider:24767992","PIP2(20:1(11Z)/16:0)","Blood"
"pubchem:53480288","PIP2(18:1(9Z)/20:4(8Z,11Z,14Z,","Blood"
"pubchem:53480248","PIP2(16:2(9Z,12Z)/18:0)","Blood"
"hmdb:HMDB0010101","PIP2(18:2(9Z,12Z)/18:1(9Z))","Blood"
"pubchem:53480134","PIP(16:1(9Z)/16:1(9Z))","Blood"
"pubchem:53480289","PIP2(18:2(9Z,12Z)/16:0)","Blood"
"hmdb:HMDB0010057","PIP2(16:2(9Z,12Z)/18:0)","Blood"
"hmdb:HMDB0009810","PI(18:0/18:3(6Z,9Z,12Z))","Blood"
"hmdb:HMDB0010106","PIP2(18:2(9Z,12Z)/20:3(5Z,8Z,1","Blood"
"chemspider:24767837","PIP(18:0/20:4(5Z,8Z,11Z,14Z))","Blood"
"hmdb:HMDB0010066","PIP2(18:0/18:3(9Z,12Z,15Z))","Blood"
"hmdb:HMDB0009916","PI(22:5(4Z,7Z,10Z,13Z,16Z)/16:","Blood"
"pubchem:53480317","PIP2(20:3(5Z,8Z,11Z)/18:2(9Z,1","Blood"
"pubchem:53480243","PIP2(16:1(9Z)/16:1(9Z))","Blood"
"hmdb:HMDB0010096","PIP2(18:1(9Z)/20:4(5Z,8Z,11Z,1","Blood"
"pubchem:53480294","PIP2(18:2(9Z,12Z)/20:0)","Blood"
"pubchem:53480260","PIP2(18:0/20:3(8Z,11Z,14Z))","Blood"
"pubchem:53480287","PIP2(18:1(9Z)/20:4(5Z,8Z,11Z,1","Blood"
"hmdb:HMDB0010152","PIP3(18:0/18:1(11Z))","Blood"
"chemspider:24767831","PIP(18:0/18:1(9Z))","Blood"
"chemspider:24767993","PIP2(20:1(11Z)/18:1(11Z))","Blood"
"pubchem:53480247","PIP2(16:2(9Z,12Z)/16:0)","Blood"
"pubchem:53480246","PIP2(16:1(9Z)/18:1(9Z))","Blood"
