pathwayName,sourceId,type,metabolite
Glutamate Metabolism,SMP00072,hmdb,ABAT
Gamma-glutamyl-transpeptidase deficiency,SMP00501,hmdb,ANPEP
Bupranolol Action Pathway,SMP00670,hmdb,ATP1A2
Bupranolol Action Pathway,SMP00670,hmdb,MYLK
Bupranolol Action Pathway,SMP00670,hmdb,CACNA1C
Bupranolol Action Pathway,SMP00670,hmdb,CACNA1G
Bupranolol Action Pathway,SMP00670,hmdb,CACNB1
Bupranolol Action Pathway,SMP00670,hmdb,KCNIP2
Fentanyl Pathway,SMP00415,hmdb,KCNIP2
Fentanyl Pathway,SMP00415,hmdb,CACNB1
Fentanyl Pathway,SMP00415,hmdb,ATP1A2
"Glycogenosis, Type VI. Hers disease",SMP00555,hmdb,AMY1A
Bopindolol Action Pathway,SMP00657,hmdb,CACNA1C
Bopindolol Action Pathway,SMP00657,hmdb,ATP1A2
Bopindolol Action Pathway,SMP00657,hmdb,MYLK
Bopindolol Action Pathway,SMP00657,hmdb,KCNIP2
Bopindolol Action Pathway,SMP00657,hmdb,CACNA1G
Bopindolol Action Pathway,SMP00657,hmdb,CACNB1
Bumetanide Pathway,SMP00088,hmdb,ATP1A2
Bumetanide Pathway,SMP00088,hmdb,SLC14A2
Methadone Pathway,SMP00408,hmdb,KCNIP2
Methadone Pathway,SMP00408,hmdb,ATP1A2
Methadone Pathway,SMP00408,hmdb,CACNB1
Spironolactone Pathway,SMP00134,hmdb,SLC14A2
Spironolactone Pathway,SMP00134,hmdb,ATP1A2
Beta-Ketothiolase Deficiency,SMP00173,hmdb,ACADS
Beta-Ketothiolase Deficiency,SMP00173,hmdb,ABAT
Amlodipine Pathway,SMP00376,hmdb,CACNB1
Amlodipine Pathway,SMP00376,hmdb,ATP1A2
Amlodipine Pathway,SMP00376,hmdb,CACNA1C
Amlodipine Pathway,SMP00376,hmdb,CACNA1G
Amlodipine Pathway,SMP00376,hmdb,KCNIP2
Amlodipine Pathway,SMP00376,hmdb,MYLK
"Glycogenosis, Type IV. Amylopectinosis, Anderson disease",SMP00554,hmdb,AMY1A
Bevantolol Action Pathway,SMP00668,hmdb,CACNA1C
Bevantolol Action Pathway,SMP00668,hmdb,ATP1A2
Bevantolol Action Pathway,SMP00668,hmdb,CACNB1
Bevantolol Action Pathway,SMP00668,hmdb,KCNIP2
Bevantolol Action Pathway,SMP00668,hmdb,MYLK
Bevantolol Action Pathway,SMP00668,hmdb,CACNA1G
Levobunolol Action Pathway,SMP00666,hmdb,ATP1A2
Levobunolol Action Pathway,SMP00666,hmdb,CACNB1
