"","gene.list"
"1","SEPT14"
"2","OR4F16"
"3","GPAM"
"4","LOC100287934"
"5","FAM87A"
"6","LOC643837"
"7","SAMD11"
"8","KLHL17"
"9","PLEKHN1"
"10","ISG15"
"11","AGRN"
"12","MIR200B"
"13","MIR429"
"14","TTLL10"
"15","B3GALT6"
"16","SCNN1D"
"17","PUSL1"
"18","GLTPD1"
"19","TAS1R3"
"20","VWA1"
"21","ATAD3C"
"22","ATAD3A"
"23","ATAD3B"
"24","LOC100288313"
"25","MIB2"
"26","MMP23B"
"27","CALML6"
"28","GABRD"
"29","PRKCZ"
"30","LOC100128003"
"31","SKI"
"32","RER1"
"33","PLCH2"
"34","C1orf93"
"35","ACTRT2"
"36","PRDM16"
"37","ARHGEF16"
"38","TPRG1L"
"39","TP73"
"40","CCDC27"
"41","DFFB"
"42","AJAP1"
"43","KCNAB2"
"44","RNF207"
"45","C1orf211"
"46","HES3"
"47","LOC100130071"
"48","ESPN"
"49","TAS1R1"
"50","ZBTB48"
"51","PHF13"
"52","THAP3"
"53","CAMTA1"
"54","VAMP3"
"55","PER3"
"56","PARK7"
"57","SLC45A1"
"58","CA6"
"59","H6PD"
"60","SPSB1"
"61","SLC25A33"
"62","TMEM201"
"63","PIK3CD"
"64","RBP7"
"65","UBE4B"
"66","KIF1B"
"67","PGD"
"68","APITD1-CORT"
"69","PEX14"
"70","TARDBP"
"71","ANGPTL7"
"72","UBIAD1"
"73","PTCHD2"
"74","FBXO44"
"75","FBXO6"
"76","C1orf187"
"77","AGTRAP"
"78","C1orf167"
"79","CLCN6"
"80","RNU5E"
"81","PLOD1"
"82","MFN2"
"83","MIIP"
"84","TNFRSF8"
"85","TNFRSF1B"
"86","VPS13D"
"87","SNORA59A"
"88","C1orf158"
"89","PRAMEF12"
"90","PRAMEF7"
"91","PRAMEF3"
"92","PRAMEF22"
"93","PRAMEF10"
"94","PRAMEF16"
"95","PRAMEF20"
"96","PRAMEF17"
"97","PDPN"
"98","PRDM2"
"99","KAZ"
"100","TMEM51"
"101","FHAD1"
"102","EFHD2"
"103","CTRC"
"104","CELA2A"
