pathwayName,sourceId,type,metabolite
Buprenorphine Action Pathway,SMP00684,hmdb,Phosphate
Excitatory Neural Signalling Through 5-HTR 7 and  Serotonin ,SMP00311,hmdb,Phosphate
3-Methylthiofentanyl Action Pathway,SMP00679,hmdb,Phosphate
Hyperinsulinism-Hyperammonemia Syndrome,SMP00339,hmdb,Fructose-6-phosphate
Hyperinsulinism-Hyperammonemia Syndrome,SMP00339,hmdb,Aspartate
Hyperinsulinism-Hyperammonemia Syndrome,SMP00339,hmdb,Glutamine
Hyperinsulinism-Hyperammonemia Syndrome,SMP00339,hmdb,Cysteine
Hyperinsulinism-Hyperammonemia Syndrome,SMP00339,hmdb,Alanine
Hyperinsulinism-Hyperammonemia Syndrome,SMP00339,hmdb,Glycine
Hyperinsulinism-Hyperammonemia Syndrome,SMP00339,hmdb,Pyruvate
Hyperinsulinism-Hyperammonemia Syndrome,SMP00339,hmdb,Phosphate
Hyperinsulinism-Hyperammonemia Syndrome,SMP00339,hmdb,Succinate
Glucose-Alanine Cycle,SMP00127,hmdb,Glucose
Glucose-Alanine Cycle,SMP00127,hmdb,Alanine
Glucose-Alanine Cycle,SMP00127,hmdb,Pyruvate
Vinorelbine Pathway,SMP00439,hmdb,Phosphate
Pantothenate and CoA Biosynthesis,SMP00027,hmdb,Pantothenate
Pantothenate and CoA Biosynthesis,SMP00027,hmdb,Cysteine
Fluoxetine Pathway,SMP00426,hmdb,Phosphate
Cocaine Pathway,SMP00395,hmdb,Phosphate
Ethacrynic Acid pathway,SMP00097,hmdb,Urea
Ethacrynic Acid pathway,SMP00097,hmdb,Cysteine
"Cystinosis, ocular nonnephropathic",SMP00722,hmdb,Cysteine
"Cystinosis, ocular nonnephropathic",SMP00722,hmdb,Pyruvate
Chlorothiazide Pathway,SMP00078,hmdb,Cysteine
Chlorothiazide Pathway,SMP00078,hmdb,Urea
Beta Ureidopropionase Deficiency,SMP00172,hmdb,Uridine
Beta Ureidopropionase Deficiency,SMP00172,hmdb,Glutamine
Beta Ureidopropionase Deficiency,SMP00172,hmdb,Uracil
Beta Ureidopropionase Deficiency,SMP00172,hmdb,"5,6-Dihydrouracil"
Beta Ureidopropionase Deficiency,SMP00172,hmdb,Cytidine
Beta Ureidopropionase Deficiency,SMP00172,hmdb,beta-Alanine
Beta Ureidopropionase Deficiency,SMP00172,hmdb,Phosphate
Tyrosinemia Type 2 (or Richner-Hanhart syndrome),SMP00369,hmdb,4-Hydroxyphenylpyruvate
Tyrosinemia Type 2 (or Richner-Hanhart syndrome),SMP00369,hmdb,Fumarate
Tyrosinemia Type 2 (or Richner-Hanhart syndrome),SMP00369,hmdb,Tyrosine
Tyrosinemia Type 2 (or Richner-Hanhart syndrome),SMP00369,hmdb,Phenylalanine
Nalbuphine Action Pathway,SMP00691,hmdb,Phosphate
Glycerolipid Metabolism,SMP00039,hmdb,Glycerol
Glycerolipid Metabolism,SMP00039,hmdb,Glycerate
Glycerolipid Metabolism,SMP00039,hmdb,3-Phosphoglycerate
Glycerolipid Metabolism,SMP00039,hmdb,Phosphate
Mexiletine Pathway,SMP00329,hmdb,Phosphate
Polythiazide Pathway,SMP00080,hmdb,Cysteine
Polythiazide Pathway,SMP00080,hmdb,Urea
Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids,SMP00482,hmdb,Stearoylcarnitine
Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids,SMP00482,hmdb,Carnitine
Pyruvate Metabolism,SMP00060,hmdb,Malate
Pyruvate Metabolism,SMP00060,hmdb,Lactate
Pyruvate Metabolism,SMP00060,hmdb,Phosphate
Pyruvate Metabolism,SMP00060,hmdb,Pyruvate
Dihydromorphine Action Pathway,SMP00689,hmdb,Phosphate
Acebutolol Pathway,SMP00296,hmdb,Phosphate
Methionine Metabolism,SMP00033,hmdb,Betaine
Methionine Metabolism,SMP00033,hmdb,Serine
Methionine Metabolism,SMP00033,hmdb,Glycine
Methionine Metabolism,SMP00033,hmdb,Choline
Methionine Metabolism,SMP00033,hmdb,Cysteine
Methionine Metabolism,SMP00033,hmdb,Methionine
Methionine Metabolism,SMP00033,hmdb,Adenosine
Methionine Metabolism,SMP00033,hmdb,Putrescine
Methionine Metabolism,SMP00033,hmdb,Spermidine
Methionine Metabolism,SMP00033,hmdb,Cystathionine
Methionine Metabolism,SMP00033,hmdb,Phosphate
Canavan Disease,SMP00175,hmdb,Fumarate
Canavan Disease,SMP00175,hmdb,Asparagine
Canavan Disease,SMP00175,hmdb,beta-Alanine
Canavan Disease,SMP00175,hmdb,Aspartate
Canavan Disease,SMP00175,hmdb,Arginine
Canavan Disease,SMP00175,hmdb,Citrulline
Canavan Disease,SMP00175,hmdb,Glutamine
Canavan Disease,SMP00175,hmdb,Phosphate
Galactosemia II (GALK),SMP00495,hmdb,Galactose
Bendroflumethiazide Pathway,SMP00090,hmdb,Cysteine
Bendroflumethiazide Pathway,SMP00090,hmdb,Urea
Ethylmorphine Action Pathway,SMP00681,hmdb,Phosphate
Blue diaper syndrome,SMP00583,hmdb,Urea
Blue diaper syndrome,SMP00583,hmdb,Cysteine
Bopindolol Action Pathway,SMP00657,hmdb,Phosphate
Fentanyl Pathway,SMP00415,hmdb,Phosphate
The oncogenic action of Succinate,SMP02292,hmdb,Malate
The oncogenic action of Succinate,SMP02292,hmdb,Pyruvate
The oncogenic action of Succinate,SMP02292,hmdb,Fumarate
The oncogenic action of Succinate,SMP02292,hmdb,Proline
The oncogenic action of Succinate,SMP02292,hmdb,2-Hydroxyglutarate
The oncogenic action of Succinate,SMP02292,hmdb,Phosphate
The oncogenic action of Succinate,SMP02292,hmdb,Citrate
The oncogenic action of Succinate,SMP02292,hmdb,trans-4-Hydroxyproline
The oncogenic action of Succinate,SMP02292,hmdb,Succinate
Vinblastine Pathway,SMP00436,hmdb,Phosphate
Betaine Metabolism,SMP00123,hmdb,Adenosine
Betaine Metabolism,SMP00123,hmdb,Choline
Betaine Metabolism,SMP00123,hmdb,Methionine
Betaine Metabolism,SMP00123,hmdb,Betaine
Betaine Metabolism,SMP00123,hmdb,Phosphate
Alanine Metabolism,SMP00055,hmdb,Phosphate
Alanine Metabolism,SMP00055,hmdb,Pyruvate
Alanine Metabolism,SMP00055,hmdb,Glycine
Alanine Metabolism,SMP00055,hmdb,Alanine
Carnitine-acylcarnitine translocase deficiency,SMP00517,hmdb,Carnitine
Carnitine-acylcarnitine translocase deficiency,SMP00517,hmdb,Acetylcarnitine
Hartnup Disorder,SMP00189,hmdb,Cysteine
Hartnup Disorder,SMP00189,hmdb,Urea
"Homocystinuria, cystathionine beta-synthase deficiency",SMP00515,hmdb,Serine
"Homocystinuria, cystathionine beta-synthase deficiency",SMP00515,hmdb,Cysteine
"Homocystinuria, cystathionine beta-synthase deficiency",SMP00515,hmdb,Cystathionine
"Valine, Leucine and Isoleucine Degradation",SMP00032,hmdb,4-Methyl-2-oxopentanoate
"Valine, Leucine and Isoleucine Degradation",SMP00032,hmdb,3-Methyl-2-oxovalerate
"Valine, Leucine and Isoleucine Degradation",SMP00032,hmdb,Valine
"Valine, Leucine and Isoleucine Degradation",SMP00032,hmdb,3-Methyl-2-oxobutyrate
"Valine, Leucine and Isoleucine Degradation",SMP00032,hmdb,Isoleucine
"Valine, Leucine and Isoleucine Degradation",SMP00032,hmdb,Succinate
"Valine, Leucine and Isoleucine Degradation",SMP00032,hmdb,Leucine
"Valine, Leucine and Isoleucine Degradation",SMP00032,hmdb,Phosphate
"Hyperlysinemia I, Familial",SMP00527,hmdb,Lysine
"Hyperlysinemia I, Familial",SMP00527,hmdb,2-Aminoadipate
Esmolol Pathway,SMP00301,hmdb,Phosphate
Prolidase Deficiency (PD),SMP00207,hmdb,Citrulline
Prolidase Deficiency (PD),SMP00207,hmdb,Proline
Prolidase Deficiency (PD),SMP00207,hmdb,Urea
Prolidase Deficiency (PD),SMP00207,hmdb,Arginine
Prolidase Deficiency (PD),SMP00207,hmdb,Phosphate
Prolidase Deficiency (PD),SMP00207,hmdb,Glycine
Prolidase Deficiency (PD),SMP00207,hmdb,Creatine
Prolidase Deficiency (PD),SMP00207,hmdb,Fumarate
Prolidase Deficiency (PD),SMP00207,hmdb,Aspartate
Prolidase Deficiency (PD),SMP00207,hmdb,Succinate
Transfer of Acetyl Groups into Mitochondria,SMP00466,hmdb,Phosphate
Transfer of Acetyl Groups into Mitochondria,SMP00466,hmdb,Glucose
Transfer of Acetyl Groups into Mitochondria,SMP00466,hmdb,Malate
Transfer of Acetyl Groups into Mitochondria,SMP00466,hmdb,Pyruvate
Transfer of Acetyl Groups into Mitochondria,SMP00466,hmdb,Citrate
Gamma-cystathionase deficiency (CTH),SMP00514,hmdb,Serine
Gamma-cystathionase deficiency (CTH),SMP00514,hmdb,Cysteine
Gamma-cystathionase deficiency (CTH),SMP00514,hmdb,Cystathionine
L-arginine:glycine amidinotransferase deficiency,SMP00507,hmdb,Glycine
L-arginine:glycine amidinotransferase deficiency,SMP00507,hmdb,Urea
L-arginine:glycine amidinotransferase deficiency,SMP00507,hmdb,Creatine
L-arginine:glycine amidinotransferase deficiency,SMP00507,hmdb,Citrulline
L-arginine:glycine amidinotransferase deficiency,SMP00507,hmdb,Fumarate
L-arginine:glycine amidinotransferase deficiency,SMP00507,hmdb,Succinate
L-arginine:glycine amidinotransferase deficiency,SMP00507,hmdb,Arginine
L-arginine:glycine amidinotransferase deficiency,SMP00507,hmdb,Aspartate
L-arginine:glycine amidinotransferase deficiency,SMP00507,hmdb,Phosphate
L-arginine:glycine amidinotransferase deficiency,SMP00507,hmdb,Proline
Cysteine Metabolism,SMP00013,hmdb,Pyruvate
Cysteine Metabolism,SMP00013,hmdb,Cysteine
Bile Acid Biosynthesis,SMP00035,hmdb,Taurine
Bile Acid Biosynthesis,SMP00035,hmdb,Glycine
Bile Acid Biosynthesis,SMP00035,hmdb,Cholesterol
Bile Acid Biosynthesis,SMP00035,hmdb,Glycochenodeoxycholate
Acute Intermittent Porphyria,SMP00344,hmdb,Glycine
Sulfite oxidase deficiency,SMP00532,hmdb,Phosphate
Argininemia,SMP00357,hmdb,Urea
Argininemia,SMP00357,hmdb,Fumarate
Argininemia,SMP00357,hmdb,Glutamine
Argininemia,SMP00357,hmdb,Arginine
Argininemia,SMP00357,hmdb,Phosphate
Argininemia,SMP00357,hmdb,Pyruvate
Argininemia,SMP00357,hmdb,Aspartate
Argininemia,SMP00357,hmdb,Alanine
Argininemia,SMP00357,hmdb,Citrulline
Metoprolol Pathway,SMP00302,hmdb,Phosphate
Methylenetetrahydrofolate Reductase Deficiency (MTHFRD),SMP00340,hmdb,Glycine
Methylenetetrahydrofolate Reductase Deficiency (MTHFRD),SMP00340,hmdb,Cysteine
Methylenetetrahydrofolate Reductase Deficiency (MTHFRD),SMP00340,hmdb,Phosphate
Methylenetetrahydrofolate Reductase Deficiency (MTHFRD),SMP00340,hmdb,Spermidine
Methylenetetrahydrofolate Reductase Deficiency (MTHFRD),SMP00340,hmdb,Methionine
Methylenetetrahydrofolate Reductase Deficiency (MTHFRD),SMP00340,hmdb,Cystathionine
Methylenetetrahydrofolate Reductase Deficiency (MTHFRD),SMP00340,hmdb,Serine
Methylenetetrahydrofolate Reductase Deficiency (MTHFRD),SMP00340,hmdb,Putrescine
Methylenetetrahydrofolate Reductase Deficiency (MTHFRD),SMP00340,hmdb,Betaine
Methylenetetrahydrofolate Reductase Deficiency (MTHFRD),SMP00340,hmdb,Adenosine
Methylenetetrahydrofolate Reductase Deficiency (MTHFRD),SMP00340,hmdb,Choline
Lincomycin Action Pathway,SMP00728,hmdb,Histidine
Lincomycin Action Pathway,SMP00728,hmdb,Methionine
Lincomycin Action Pathway,SMP00728,hmdb,Valine
Lincomycin Action Pathway,SMP00728,hmdb,Isoleucine
Lincomycin Action Pathway,SMP00728,hmdb,Leucine
Lincomycin Action Pathway,SMP00728,hmdb,Proline
Lincomycin Action Pathway,SMP00728,hmdb,Threonine
Lincomycin Action Pathway,SMP00728,hmdb,Alanine
Lincomycin Action Pathway,SMP00728,hmdb,Asparagine
Lactose Degradation,SMP00457,hmdb,Phosphate
Lactose Degradation,SMP00457,hmdb,Galactose
Lactose Degradation,SMP00457,hmdb,Glucose
Methadyl Acetate Action Pathway,SMP00678,hmdb,Phosphate
Tryptophan Metabolism,SMP00063,hmdb,Tryptophan
Tryptophan Metabolism,SMP00063,hmdb,Alanine
Tryptophan Metabolism,SMP00063,hmdb,Kynurenine
"Creatine deficiency, guanidinoacetate methyltransferase deficiency",SMP00504,hmdb,Creatine
"Creatine deficiency, guanidinoacetate methyltransferase deficiency",SMP00504,hmdb,Urea
"Creatine deficiency, guanidinoacetate methyltransferase deficiency",SMP00504,hmdb,Succinate
"Creatine deficiency, guanidinoacetate methyltransferase deficiency",SMP00504,hmdb,Phosphate
"Creatine deficiency, guanidinoacetate methyltransferase deficiency",SMP00504,hmdb,Fumarate
"Creatine deficiency, guanidinoacetate methyltransferase deficiency",SMP00504,hmdb,Arginine
"Creatine deficiency, guanidinoacetate methyltransferase deficiency",SMP00504,hmdb,Aspartate
"Creatine deficiency, guanidinoacetate methyltransferase deficiency",SMP00504,hmdb,Citrulline
"Creatine deficiency, guanidinoacetate methyltransferase deficiency",SMP00504,hmdb,Proline
"Creatine deficiency, guanidinoacetate methyltransferase deficiency",SMP00504,hmdb,Glycine
"Glycogenosis, Type VII. Tarui disease",SMP00531,hmdb,Fructose-6-phosphate
"Glycogenosis, Type VII. Tarui disease",SMP00531,hmdb,Pyruvate
"Glycogenosis, Type VII. Tarui disease",SMP00531,hmdb,Phosphate
"Glycogenosis, Type VII. Tarui disease",SMP00531,hmdb,3-Phosphoglycerate
"Glycogenosis, Type VII. Tarui disease",SMP00531,hmdb,Glucose
Homocysteine Degradation,SMP00455,hmdb,Serine
Homocysteine Degradation,SMP00455,hmdb,Cystathionine
Homocysteine Degradation,SMP00455,hmdb,Cysteine
Hydroflumethiazide Pathway,SMP00108,hmdb,Urea
Hydroflumethiazide Pathway,SMP00108,hmdb,Cysteine
Krabbe disease,SMP00526,hmdb,Phosphoethanolamine
Krabbe disease,SMP00526,hmdb,Glucose
Krabbe disease,SMP00526,hmdb,Phosphate
Krabbe disease,SMP00526,hmdb,Sphingosine
Krabbe disease,SMP00526,hmdb,Sphinganine
Krabbe disease,SMP00526,hmdb,Galactose
Krabbe disease,SMP00526,hmdb,Serine
Glucose Transporter Defect (SGLT2),SMP00245,hmdb,Urea
Glucose Transporter Defect (SGLT2),SMP00245,hmdb,Cysteine
Ornithine Transcarbamylase Deficiency (OTC Deficiency),SMP00205,hmdb,Citrulline
Ornithine Transcarbamylase Deficiency (OTC Deficiency),SMP00205,hmdb,Arginine
Ornithine Transcarbamylase Deficiency (OTC Deficiency),SMP00205,hmdb,Urea
Ornithine Transcarbamylase Deficiency (OTC Deficiency),SMP00205,hmdb,Fumarate
Ornithine Transcarbamylase Deficiency (OTC Deficiency),SMP00205,hmdb,Aspartate
Ornithine Transcarbamylase Deficiency (OTC Deficiency),SMP00205,hmdb,Phosphate
Ornithine Transcarbamylase Deficiency (OTC Deficiency),SMP00205,hmdb,Glutamine
Ornithine Transcarbamylase Deficiency (OTC Deficiency),SMP00205,hmdb,Pyruvate
Ornithine Transcarbamylase Deficiency (OTC Deficiency),SMP00205,hmdb,Alanine
"Glycogenosis, Type IB",SMP00573,hmdb,Phosphate
"Glycogenosis, Type IB",SMP00573,hmdb,3-Phosphoglycerate
"Glycogenosis, Type IB",SMP00573,hmdb,Glucose
"Glycogenosis, Type IB",SMP00573,hmdb,Fructose-6-phosphate
"Glycogenosis, Type IB",SMP00573,hmdb,Pyruvate
"Glycogenosis, Type IB",SMP00573,hmdb,Lactate
Intracellular Signalling Through Histamine H2 Receptor and Histamine,SMP00335,hmdb,Phosphate
Intracellular Signalling Through Histamine H2 Receptor and Histamine,SMP00335,hmdb,Histamine
GABA-Transaminase Deficiency,SMP00351,hmdb,beta-Alanine
GABA-Transaminase Deficiency,SMP00351,hmdb,Histidine
GABA-Transaminase Deficiency,SMP00351,hmdb,"5,6-Dihydrouracil"
GABA-Transaminase Deficiency,SMP00351,hmdb,3-Methylhistidine
GABA-Transaminase Deficiency,SMP00351,hmdb,Pantothenate
GABA-Transaminase Deficiency,SMP00351,hmdb,Uracil
GABA-Transaminase Deficiency,SMP00351,hmdb,Aspartate
Nevirapine Metabolism Pathway,SMP00642,hmdb,Phosphate
Fructose and Mannose Degradation,SMP00064,hmdb,Fucose
Fructose and Mannose Degradation,SMP00064,hmdb,Mannose-6-phosphate
Fructose and Mannose Degradation,SMP00064,hmdb,Fructose-6-phosphate
Fructose and Mannose Degradation,SMP00064,hmdb,Fructose
Fructose and Mannose Degradation,SMP00064,hmdb,Sorbitol
Fructose and Mannose Degradation,SMP00064,hmdb,Mannose
Fructose and Mannose Degradation,SMP00064,hmdb,Phosphate
Homocarnosinosis,SMP00385,hmdb,Aspartate
Homocarnosinosis,SMP00385,hmdb,Glycine
Homocarnosinosis,SMP00385,hmdb,Fructose-6-phosphate
Homocarnosinosis,SMP00385,hmdb,Alanine
Homocarnosinosis,SMP00385,hmdb,Pyruvate
Homocarnosinosis,SMP00385,hmdb,Glutamine
Homocarnosinosis,SMP00385,hmdb,Succinate
