"pathwayName","sourceId","type","metabolite"
"Arginine and proline metabolism","00330","kegg","GATM"
"Arginine and proline metabolism","00330","kegg","CNDP2"
"Arginine and proline metabolism","00330","kegg","MAOB"
"Arginine and proline metabolism","00330","kegg","SMOX"
"Arginine and proline metabolism","00330","kegg","MAOA"
"Arginine and proline metabolism","00330","kegg","P4HA3"
"Arginine and proline metabolism","00330","kegg","ALDH9A1"
"Arginine and proline metabolism","00330","kegg","CKM"
"Arginine and proline metabolism","00330","kegg","PRODH2"
"Arginine and proline metabolism","00330","kegg","LAP3"
"Arginine and proline metabolism","00330","kegg","SAT1"
"Arginine and proline metabolism","00330","kegg","PYCR2"
"Arginine and proline metabolism","00330","kegg","OAT"
"Arginine and proline metabolism","00330","kegg","CKB"
"Arginine and proline metabolism","00330","kegg","P4HA1"
"Arginine and proline metabolism","00330","kegg","ALDH3A2"
"Arginine and proline metabolism","00330","kegg","CKMT1A"
"Arginine and proline metabolism","00330","kegg","CKMT2"
"Arginine and proline metabolism","00330","kegg","SMO"
"Arginine and proline metabolism","00330","kegg","P4HA2"
"Arginine and proline metabolism","00330","kegg","GOT2"
"Arginine and proline metabolism","00330","kegg","AMD1"
"Arginine and proline metabolism","00330","kegg","ALDH2"
"Arginine and proline metabolism","00330","kegg","SMS"
"Arginine and proline metabolism","00330","kegg","SRM"
"Arginine and proline metabolism","00330","kegg","DHDPSL"
"Arginine and proline metabolism","00330","kegg","ALDH4A1"
"Arginine and proline metabolism","00330","kegg","NOS2"
"Arginine and proline metabolism","00330","kegg","ABP1"
"Arginine and proline metabolism","00330","kegg","NOS1"
"Arginine and proline metabolism","00330","kegg","SAT2"
"Arginine and proline metabolism","00330","kegg","GOT1"
"Arginine and proline metabolism","00330","kegg","CNDP1"
"Arginine and proline metabolism","00330","kegg","ARG2"
"Arginine and proline metabolism","00330","kegg","CARNS1"
"Arginine and proline metabolism","00330","kegg","PRODH"
"Arginine and proline metabolism","00330","kegg","ADC"
"Arginine and proline metabolism","00330","kegg","ALDH18A1"
"Arginine and proline metabolism","00330","kegg","AGMAT"
"Arginine and proline metabolism","00330","kegg","AZI2"
"Arginine and proline metabolism","00330","kegg","ALDH7A1"
"Arginine and proline metabolism","00330","kegg","ALDH1B1"
"Arginine and proline metabolism","00330","kegg","PYCR1"
"Arginine and proline metabolism","00330","kegg","NOS3"
"Arginine and proline metabolism","00330","kegg","C14orf149"
"Arginine and proline metabolism","00330","kegg","GAMT"
"Arginine and proline metabolism","00330","kegg","ODC1"
"Arginine and proline metabolism","00330","kegg","PYCRL"
"Type II diabetes mellitus","04930","kegg","CACNA1A"
"Type II diabetes mellitus","04930","kegg","SOCS1"
"Type II diabetes mellitus","04930","kegg","PIK3R3"
"Type II diabetes mellitus","04930","kegg","SOCS4"
"Type II diabetes mellitus","04930","kegg","HPCA"
"Type II diabetes mellitus","04930","kegg","CACNA1C"
"Type II diabetes mellitus","04930","kegg","PIK3CB"
"Type II diabetes mellitus","04930","kegg","INSR"
"Type II diabetes mellitus","04930","kegg","KCNJ11"
"Type II diabetes mellitus","04930","kegg","HKDC1"
"Type II diabetes mellitus","04930","kegg","MAPK3"
"Type II diabetes mellitus","04930","kegg","ADIPOQ"
"Type II diabetes mellitus","04930","kegg","MAFA"
"Type II diabetes mellitus","04930","kegg","MAPK8"
"Type II diabetes mellitus","04930","kegg","GK"
"Type II diabetes mellitus","04930","kegg","PRKCD"
"Type II diabetes mellitus","04930","kegg","SLC2A4"
"Type II diabetes mellitus","04930","kegg","PIK3R2"
"Type II diabetes mellitus","04930","kegg","GCK"
"Type II diabetes mellitus","04930","kegg","ABCC8"
"Type II diabetes mellitus","04930","kegg","HK2"
"Type II diabetes mellitus","04930","kegg","PDX1"
"Type II diabetes mellitus","04930","kegg","PIK3CD"
"Type II diabetes mellitus","04930","kegg","CACNA1D"
"Type II diabetes mellitus","04930","kegg","IRS2"
"Type II diabetes mellitus","04930","kegg","IKBKB"
"Type II diabetes mellitus","04930","kegg","SOCS3"
"Type II diabetes mellitus","04930","kegg","HK1"
"Type II diabetes mellitus","04930","kegg","MAPK10"
"Type II diabetes mellitus","04930","kegg","CACNA1G"
"Type II diabetes mellitus","04930","kegg","SOCS7"
"Type II diabetes mellitus","04930","kegg","PKLR"
"Type II diabetes mellitus","04930","kegg","PRKCE"
"Type II diabetes mellitus","04930","kegg","PRKCZ"
"Type II diabetes mellitus","04930","kegg","MAPK9"
"Type II diabetes mellitus","04930","kegg","PIK3R1"
"Type II diabetes mellitus","04930","kegg","CACNA1B"
"Type II diabetes mellitus","04930","kegg","TNF"
"Type II diabetes mellitus","04930","kegg","PIK3CA"
"Type II diabetes mellitus","04930","kegg","PKM2"
"Type II diabetes mellitus","04930","kegg","MTOR"
"Type II diabetes mellitus","04930","kegg","MAPK1"
"Type II diabetes mellitus","04930","kegg","SOCS2"
"Type II diabetes mellitus","04930","kegg","CACNA1E"
"Type II diabetes mellitus","04930","kegg","HK3"
"Type II diabetes mellitus","04930","kegg","IRS1"
"Herpes simplex infection","05168","kegg","HLA-B"
"Herpes simplex infection","05168","kegg","HLA-DRB3"
"Herpes simplex infection","05168","kegg","NFKB1"
"Herpes simplex infection","05168","kegg","HLA-E"
"Herpes simplex infection","05168","kegg","TAF10"
