"","pathwayName","sourceId","type","metabolite"
"94365","Insulin signaling pathway","04910","kegg","PIK3R1"
"94366","Insulin signaling pathway","04910","kegg","GCK"
"94367","Insulin signaling pathway","04910","kegg","MAPK3"
"94368","Insulin signaling pathway","04910","kegg","PRKAR1A"
"94369","Insulin signaling pathway","04910","kegg","RPS6"
"94370","Insulin signaling pathway","04910","kegg","SHC2"
"94371","Insulin signaling pathway","04910","kegg","INPP5K"
"94372","Insulin signaling pathway","04910","kegg","INSR"
"94373","Insulin signaling pathway","04910","kegg","CALM2"
"94374","Insulin signaling pathway","04910","kegg","AKT2"
"94375","Insulin signaling pathway","04910","kegg","PPP1R3C"
"94376","Insulin signaling pathway","04910","kegg","CALML5"
"94377","Insulin signaling pathway","04910","kegg","cAMP"
"94378","Insulin signaling pathway","04910","kegg","PRKACA"
"94379","Insulin signaling pathway","04910","kegg","PPP1R3B"
"94380","Insulin signaling pathway","04910","kegg","HRAS"
"94381","Insulin signaling pathway","04910","kegg","PRKAR2A"
"94382","Insulin signaling pathway","04910","kegg","GYS1"
"94383","Insulin signaling pathway","04910","kegg","AKT1"
"94384","Insulin signaling pathway","04910","kegg","CRKL"
"94385","Insulin signaling pathway","04910","kegg","FLOT1"
"94386","Insulin signaling pathway","04910","kegg","PKLR"
"94387","Insulin signaling pathway","04910","kegg","CBL"
"94388","Insulin signaling pathway","04910","kegg","ELK1"
"94389","Insulin signaling pathway","04910","kegg","HK1"
"94390","Insulin signaling pathway","04910","kegg","MAP2K2"
"94391","Insulin signaling pathway","04910","kegg","PIK3CB"
"94392","Insulin signaling pathway","04910","kegg","PTPRF"
"94393","Insulin signaling pathway","04910","kegg","BRAF"
"94394","Insulin signaling pathway","04910","kegg","PCK1"
"94395","Insulin signaling pathway","04910","kegg","TRIP10"
"94396","Insulin signaling pathway","04910","kegg","G6PC3"
"94397","Insulin signaling pathway","04910","kegg","SORBS1"
"94398","Insulin signaling pathway","04910","kegg","SOS1"
"94399","Insulin signaling pathway","04910","kegg","PIK3CD"
"94400","Insulin signaling pathway","04910","kegg","PRKACG"
"94401","Insulin signaling pathway","04910","kegg","PPP1CC"
"94402","Insulin signaling pathway","04910","kegg","SHC1"
"94403","Insulin signaling pathway","04910","kegg","IKBKB"
"94404","Insulin signaling pathway","04910","kegg","GRB2"
"94405","Insulin signaling pathway","04910","kegg","PPARGC1A"
"94406","Insulin signaling pathway","04910","kegg","RHOQ"
"94407","Insulin signaling pathway","04910","kegg","BAD"
"94408","Insulin signaling pathway","04910","kegg","CRK"
"94409","Insulin signaling pathway","04910","kegg","HK2"
"94410","Insulin signaling pathway","04910","kegg","PRKAR2B"
"94411","Insulin signaling pathway","04910","kegg","FBP1"
"94412","Insulin signaling pathway","04910","kegg","PRKAA2"
"94413","Insulin signaling pathway","04910","kegg","PYGL"
"94414","Insulin signaling pathway","04910","kegg","MKNK2"
"94415","Insulin signaling pathway","04910","kegg","LIPE"
"94416","Insulin signaling pathway","04910","kegg","CBLC"
"94417","Insulin signaling pathway","04910","kegg","PRKCZ"
"94418","Insulin signaling pathway","04910","kegg","MTOR"
"94419","Insulin signaling pathway","04910","kegg","PRKAA1"
"94420","Insulin signaling pathway","04910","kegg","CALM3"
"94421","Insulin signaling pathway","04910","kegg","RAPGEF1"
"94422","Insulin signaling pathway","04910","kegg","PTPN1"
"94423","Insulin signaling pathway","04910","kegg","PIK3CA"
"94424","Insulin signaling pathway","04910","kegg","RHEB"
"94425","Insulin signaling pathway","04910","kegg","CBLB"
"94426","Insulin signaling pathway","04910","kegg","PHKG2"
"94427","Insulin signaling pathway","04910","kegg","PRKACB"
"94428","Insulin signaling pathway","04910","kegg","RPS6KB2"
"94429","Insulin signaling pathway","04910","kegg","PIK3R3"
"94430","Insulin signaling pathway","04910","kegg","INPPL1"
"94431","Insulin signaling pathway","04910","kegg","IRS2"
"94432","Insulin signaling pathway","04910","kegg","FASN"
"94433","Insulin signaling pathway","04910","kegg","HK3"
"94434","Insulin signaling pathway","04910","kegg","SLC2A4"
"94435","Insulin signaling pathway","04910","kegg","PPP1CB"
"94436","Insulin signaling pathway","04910","kegg","MAPK8"
"94437","Insulin signaling pathway","04910","kegg","PRKCI"
"94438","Insulin signaling pathway","04910","kegg","SOCS1"
"94439","Insulin signaling pathway","04910","kegg","IRS1"
"94440","Insulin signaling pathway","04910","kegg","NRAS"
"94441","Insulin signaling pathway","04910","kegg","PIK3R2"
"94442","Insulin signaling pathway","04910","kegg","PRKAR1B"
"94443","Insulin signaling pathway","04910","kegg","EIF4E"
"94444","Insulin signaling pathway","04910","kegg","PCK2"
"94445","Insulin signaling pathway","04910","kegg","CALML3"
"94446","Insulin signaling pathway","04910","kegg","PHKG1"
"94447","Insulin signaling pathway","04910","kegg","TSC2"
"94448","Insulin signaling pathway","04910","kegg","CALM1"
"94449","Insulin signaling pathway","04910","kegg","PHKA2"
"94450","Insulin signaling pathway","04910","kegg","AKT3"
"94451","Insulin signaling pathway","04910","kegg","PDE3B"
"94452","Insulin signaling pathway","04910","kegg","MKNK1"
"94453","Insulin signaling pathway","04910","kegg","PHKB"
"94454","Insulin signaling pathway","04910","kegg","ACACB"
"94455","Insulin signaling pathway","04910","kegg","SHC3"
"94456","Insulin signaling pathway","04910","kegg","HKDC1"
"94457","Insulin signaling pathway","04910","kegg","MAPK9"
"94458","Insulin signaling pathway","04910","kegg","SOCS3"
"94459","Insulin signaling pathway","04910","kegg","KRAS"
"94460","Insulin signaling pathway","04910","kegg","GSK3B"
"94461","Insulin signaling pathway","04910","kegg","PHKA1"
"94462","Insulin signaling pathway","04910","kegg","ACACA"
"94463","Insulin signaling pathway","04910","kegg","RAF1"
"94464","Insulin signaling pathway","04910","kegg","PYGB"
"94465","Insulin signaling pathway","04910","kegg","SOS2"
"94466","Insulin signaling pathway","04910","kegg","EXOC7"
"94467","Insulin signaling pathway","04910","kegg","FLOT2"
"94468","Insulin signaling pathway","04910","kegg","MAP2K1"
"94469","Insulin signaling pathway","04910","kegg","MAPK10"
"94470","Insulin signaling pathway","04910","kegg","EIF4EBP1"
"94471","Insulin signaling pathway","04910","kegg","RPS6KB1"
"94472","Insulin signaling pathway","04910","kegg","TSC1"
"94473","Insulin signaling pathway","04910","kegg","MAPK1"
"94474","Insulin signaling pathway","04910","kegg","ARAF"
"94475","Insulin signaling pathway","04910","kegg","SREBF1"
"94476","Insulin signaling pathway","04910","kegg","PDPK1"
"94477","Insulin signaling pathway","04910","kegg","PYGM"
"94478","Insulin signaling pathway","04910","kegg","PPP1CA"
"94479","Cytokine-cytokine receptor interaction","04060","kegg","CSF3"
"94480","Cytokine-cytokine receptor interaction","04060","kegg","CXCR3"
"94481","Cytokine-cytokine receptor interaction","04060","kegg","IL6ST"
"94482","Cytokine-cytokine receptor interaction","04060","kegg","IL13"
"94483","Cytokine-cytokine receptor interaction","04060","kegg","CCL28"
