"metabolites","totpathways","hmdb","kegg","wiki","reac","Synonym"
"RAMP_C_000020707",16456,16425,12,5,14,"1,3-Dihydroxy-2-Propanonemono(dihydrogenphosphate)"
"RAMP_C_000036180",5211,5125,3,4,76,"5'-(Tetrahydrogentriphosphate)cytidine"
"RAMP_C_000055738",1915,1871,9,3,32,"HexadecanoylCoA"
"RAMP_C_000084507",326,288,4,2,25,"Myristoyl-CoA"
"RAMP_C_000065629",298,278,4,2,14,"Dodecanoyl-CoA"
"RAMP_C_000078024",282,269,4,2,7,"Decanoylcoenzymeamonohydrate"
"RAMP_C_000009386",258,258,0,0,0,"Heptadecanoate"
"RAMP_C_000012854",577,140,101,7,255,"Ca"
"RAMP_C_000100937",295,80,17,1,171,"5'-Adenosinemonophosphate"
"RAMP_C_000036960",70,52,4,2,12,"(+)-Aldosterone"
"RAMP_C_000050149",126,50,7,4,53,"Cys-Gly"
"RAMP_C_000104615",107,50,14,5,38,"2-(3,4-Dihydroxyphenyl)ethylamine"
"RAMP_C_000054298",63,44,4,0,15,"(+)-Biotin"
"RAMP_C_000099720",51,35,2,1,13,"11-Deoxy-17-hydroxy-Corticosterone"
"RAMP_C_000001392",75,27,12,1,30,"(2-hydroxy-3-phosphonooxypropyl)(E)-octadec-9-enoate"
"RAMP_C_000034330",43,25,7,2,7,"2-Ketobutanoate"
"RAMP_C_000066354",105,24,17,1,58,"Bertholite"
"RAMP_C_000071890",36,23,2,2,6,"(-)-7-dehydrocholesterol"
"RAMP_C_000055659",55,21,3,1,26,"(6R)-5,6,7,8-Tetrahydro-L-biopterin"
"RAMP_C_000108137",212,20,5,4,162,"Adenine-nicotinamidedinucleotidephosphate"
"RAMP_C_000097365",42,17,2,2,21,"1,6-Dihydro-6-iminopurine"
"RAMP_C_000013461",28,17,6,2,3,"2-Keto-3-Methylbutyrate"
"RAMP_C_000059841",94,15,14,2,58,"Ammoniaanhydrous"
"RAMP_C_000063514",41,14,24,3,0,"RoferoseST"
"RAMP_C_000058980",94,12,12,2,59,"Acetate"
"RAMP_C_000015765",152,11,68,6,58,"3'5'-CyclicAMP"
"RAMP_C_000045908",1293,11,20,4,1021,"5'-(Tetrahydrogentriphosphate)Adenosine"
"RAMP_C_000015607",79,10,3,2,63,"5'-UDP"
"RAMP_C_000100134",10,8,2,0,0,"(4-hydroxy-phenyl)-acetate"
"RAMP_C_000066794",52,8,40,4,0,"Gastridan"
"RAMP_C_000102725",36,8,5,1,17,"alpha-D-Glucopyranuronicacid"
"RAMP_C_000043556",35,7,5,2,21,"3a,7a,12a-Trihydroxy-5b-cholanicacid-24-taurine"
"RAMP_C_000069540",33,6,5,3,13,"1-(Dihydrogenphosphate)Glycerol"
"RAMP_C_000000069",15,6,2,1,6,"3'-O-Sulphogalactosylceramide"
"RAMP_C_000109335",39,5,5,1,27,"3'-Phosphoryl-AMP"
