"metabolites","totpathways","hmdb","kegg","wiki","reac","Synonym"
"RAMP_C_000012854",577,140,101,7,255,"Ca"
"RAMP_C_000015765",152,11,68,6,58,"3'5'-CyclicAMP"
"RAMP_C_000102518",160,0,68,6,61,"1D-Myo-Inositol1,4,5-trisphosphate"
"RAMP_C_000000192",132,0,63,4,51,"1-Palmitoyl-2-arachidonyl-sn-glycerol"
"RAMP_C_000038316",211,0,59,3,125,"1,2-Diacyl-sn-glycero-3-phospho-(1'-myo-inositol-3',4',5'-bisphosphate)"
"RAMP_C_000066794",52,8,40,4,0,"Gastridan"
"RAMP_C_000078586",187,2,39,3,132,"Sodium"
"RAMP_C_000079280",127,0,39,3,85,"K+"
"RAMP_C_000004021",64,0,34,4,23,"Nitrogenoxide(nox)"
"RAMP_C_000079739",91,0,32,4,48,"2-Oxopropanoate"
"RAMP_C_000009161",176,0,31,5,135,"Ac-CoA"
"RAMP_C_000057788",100,0,25,3,69,"AdekaSuperEL"
"RAMP_C_000063514",41,14,24,3,0,"RoferoseST"
"RAMP_C_000028080",412,1,23,3,345,"Hydrogencation"
"RAMP_C_000030383",93,0,21,3,64,"(all-Z)-5,8,11,14-Eicosatetraenoate"
"RAMP_C_000045908",1293,11,20,4,1021,"5'-(Tetrahydrogentriphosphate)Adenosine"
"RAMP_C_000064155",106,0,20,3,78,"2-Ketoglutarate"
"RAMP_C_000104313",21,0,19,2,0,"2-Aminoacetate"
"RAMP_C_000015923",21,0,18,3,0,"(-)-a-Amino-p-hydroxyhydrocinnamate"
"RAMP_C_000012538",19,0,17,2,0,"Asp"
"RAMP_C_000066354",105,24,17,1,58,"Bertholite"
"RAMP_C_000089779",87,0,17,2,63,"1,2-Ethanedicarboxylate"
"RAMP_C_000100937",295,80,17,1,171,"5'-Adenosinemonophosphate"
"RAMP_C_000105290",19,0,17,2,0,"(2S)-2,5-diamino-5-oxopentanoate"
"RAMP_C_000022304",46,0,16,2,23,"17OHE4NP"
"RAMP_C_000060392",160,0,16,3,118,"Carbonoxide"
"RAMP_C_000024292",40,0,15,2,15,"3',5'-CyclicGMP"
"RAMP_C_000025219",17,0,15,2,0,"(+)-2-Amino-3-mercaptopropionicacid"
"RAMP_C_000046542",21,0,15,2,4,"(2E)-But-2-enedioate"
"RAMP_C_000076567",19,0,15,4,0,"3-Carboxypropylamine"
"RAMP_C_000032253",17,0,14,3,0,"(-)-Serine"
"RAMP_C_000059841",94,15,14,2,58,"Ammoniaanhydrous"
"RAMP_C_000104615",107,50,14,5,38,"2-(3,4-Dihydroxyphenyl)ethylamine"
"RAMP_C_000111560",50,0,14,2,34,"Fattyacid"
"RAMP_C_000007360",17,0,13,4,0,"Norlaudanosoline"
"RAMP_C_000007957",53,3,13,3,30,"D-Fructose6-phosphate"
"RAMP_C_000026189",26,0,13,2,11,"3-Acetoacetyl-CoA"
"RAMP_C_000039090",37,0,13,4,15,"MalonylCoA"
"RAMP_C_000042402",15,0,13,2,0,"(2S)-2-Aminopropanoate"
"RAMP_C_000057078",51,0,13,3,34,"Acetylcholineion"
"RAMP_C_000111585",214,0,13,2,175,"1-Phosphatidyl-D-myo-inositol4,5-bisphosphate"
"RAMP_C_000001392",75,27,12,1,30,"(2-hydroxy-3-phosphonooxypropyl)(E)-octadec-9-enoate"
"RAMP_C_000002386",14,0,12,2,0,"(-)-tryptophan"
"RAMP_C_000020707",16456,16425,12,5,14,"1,3-Dihydroxy-2-Propanonemono(dihydrogenphosphate)"
"RAMP_C_000027108",122,0,12,2,85,"(3b,14b,17a)-Cholest-5-en-3-ol"
"RAMP_C_000028425",60,0,12,2,46,"(-)-(R)-Norepinephrine"
"RAMP_C_000039664",27,0,12,2,13,"2-Ketosuccinate"
"RAMP_C_000052899",786,0,12,3,669,"Dihydrogenoxide"
"RAMP_C_000057553",13,0,12,1,0,"1-8-AngiotensinI"
"RAMP_C_000058980",94,12,12,2,59,"Acetate"
