"metabolites","totpathways","hmdb","kegg","wiki","reac","Synonym"
"RAMP_C_000026185",729,257,101,5,287,"Ca"
"RAMP_C_000020600",217,54,68,4,68,"1D-Myo-Inositol1,4,5-trisphosphate"
"RAMP_C_000042790",176,30,68,4,66,"3'5'-CyclicAMP"
"RAMP_C_000002135",142,0,63,2,56,"1-Oleoyl-2-arachidonoyl-sn-glycerol"
"RAMP_C_000067486",214,2,59,2,127,"1,2-Diacyl-sn-glycero-3-phospho-(1'-myo-inositol-3',4',5'-bisphosphate)"
"RAMP_C_000042038",214,173,40,1,0,"(2S)-2-Aminopentanedioate"
"RAMP_C_000040040",314,192,39,0,83,"K+"
"RAMP_C_000006827",318,140,38,2,130,"Sodium"
"RAMP_C_000004497",74,12,34,3,22,"Mononitrogenmonoxide"
"RAMP_C_000025223",157,68,32,3,47,"2-Oxopropanoate"
"RAMP_C_000017358",301,128,31,3,134,"Ac-CoA"
"RAMP_C_000035034",229,130,25,2,69,"AdekaSuperEL"
"RAMP_C_000049044",58,33,24,1,0,"RoferoseST"
"RAMP_C_000069306",567,168,23,2,337,"Hydrogencation"
"RAMP_C_000070865",134,43,21,1,64,"(all-Z)-5,8,11,14-Eicosatetraenoate"
"RAMP_C_000005676",1706,460,20,3,991,"5'-(Tetrahydrogentriphosphate)Adenosine"
"RAMP_C_000049052",216,116,20,1,74,"2-Ketoglutarate"
"RAMP_C_000004917",96,76,19,1,0,"2-Aminoacetate"
"RAMP_C_000073625",36,17,18,1,0,"(-)-a-Amino-p-hydroxyhydrocinnamate"
"RAMP_C_000001254",78,60,17,1,0,"Asp"
"RAMP_C_000004098",70,53,17,0,0,"(2S)-2,5-diamino-5-oxopentanoate"
"RAMP_C_000012441",143,57,17,1,63,"1,2-Ethanedicarboxylate"
"RAMP_C_000042450",375,155,17,0,177,"5'-Adenosinemonophosphate"
"RAMP_C_000077551",17,0,17,0,0,"Cl-"
"RAMP_C_000007698",86,41,16,0,24,"(-)-ProstaglandinE2"
"RAMP_C_000010957",385,226,16,2,118,"Carbonoxide"
"RAMP_C_000008945",82,66,15,1,0,"(+)-2-Amino-3-mercaptopropionicacid"
"RAMP_C_000060193",36,0,15,1,12,"3',5'-CyclicGMP"
"RAMP_C_000066766",23,6,15,2,0,"3-Carboxypropylamine"
"RAMP_C_000073935",85,65,15,1,4,"(2E)-But-2-enedioate"
"RAMP_C_000009258",44,28,14,2,0,"(-)-Serine"
"RAMP_C_000025040",198,120,14,1,58,"Ammoniaanhydrous"
"RAMP_C_000034567",118,64,14,2,38,"2-(3,4-Dihydroxyphenyl)ethylamine"
"RAMP_C_000016096",43,30,13,0,0,"(S)-2-amino-5-[(aminoiminomethyl)amino]-Pentanoate"
"RAMP_C_000018461",72,59,13,0,0,"(2S)-2-Aminopropanoate"
"RAMP_C_000025493",65,15,13,1,35,"Acetylcholineion"
"RAMP_C_000070922",97,72,13,1,11,"3-Acetoacetyl-CoA"
"RAMP_C_000071140",44,11,13,1,14,"MalonylCoA"
"RAMP_C_000074604",14,0,13,1,0,"1-Phosphatidyl-D-myo-inositol4,5-bisphosphate"
"RAMP_C_000074867",14,0,13,1,0,"Fattyacid"
"RAMP_C_000000652",44,0,12,0,27,"1-Octadecanoyl-phosphatidicacid"
"RAMP_C_000009619",122,63,12,0,47,"(-)-(R)-Norepinephrine"
"RAMP_C_000014563",95,69,12,1,13,"2-Ketosuccinate"
"RAMP_C_000015847",14,2,12,0,0,"(-)-tryptophan"
"RAMP_C_000021697",55,27,12,2,14,"1,3-Dihydroxy-2-Propanonemono(dihydrogenphosphate)"
"RAMP_C_000027221",85,29,12,0,41,"1-(6-Amino-9H-purin-9-yl)-1-deoxy-beta-D-Ribofuranose"
"RAMP_C_000030265",1357,555,12,2,683,"Dihydrogenoxide"
"RAMP_C_000053295",102,20,12,1,60,"Acetate"
"RAMP_C_000073061",35,23,12,0,0,"1-8-AngiotensinI"
"RAMP_C_000000807",154,41,11,0,82,"(+)-ent-Cholesterol"
"RAMP_C_000032166",61,50,11,0,0,"(2S)-2-Amino-4-methylpentanoate"
"RAMP_C_000038228",51,21,11,1,18,"(-)-(S)-Malate"
"RAMP_C_000041210",1421,358,11,3,842,"Adenosindiphosphorsaeure"
