"metabolites","totpathways","hmdb","kegg","wiki","reac","Synonym"
"RAMP_C_000026185",729,257,101,5,287,"Ca"
"RAMP_C_000020600",217,54,68,4,68,"1D-Myo-Inositol1,4,5-trisphosphate"
"RAMP_C_000042790",176,30,68,4,66,"3'5'-CyclicAMP"
"RAMP_C_000004497",74,12,34,3,22,"Mononitrogenmonoxide"
"RAMP_C_000005676",1706,460,20,3,991,"5'-(Tetrahydrogentriphosphate)Adenosine"
"RAMP_C_000017358",301,128,31,3,134,"Ac-CoA"
"RAMP_C_000023671",418,233,5,3,157,"Adenine-nicotinamidedinucleotidephosphate"
"RAMP_C_000025223",157,68,32,3,47,"2-Oxopropanoate"
"RAMP_C_000035101",184,53,3,3,109,"(S)-5'-(S)-(3-Amino-3-carboxypropyl)-5'-thioadenosine"
"RAMP_C_000041210",1421,358,11,3,842,"Adenosindiphosphorsaeure"
"RAMP_C_000061605",25,8,3,3,11,"Cholinephosphate"
"RAMP_C_000000752",80,0,6,2,52,"1-Palmitoleoyl-2-stearoyl-3-arachidonyl-glycerol"
"RAMP_C_000002135",142,0,63,2,56,"1-Oleoyl-2-arachidonoyl-sn-glycerol"
"RAMP_C_000003377",73,0,5,2,48,"1-(11-Eicosenoate"
"RAMP_C_000004786",130,63,7,2,53,"5-L-Glutamyl-L-cysteinylglycine"
"RAMP_C_000005546",17,5,3,2,7,"2'-Deoxy-5'-uridylate"
"RAMP_C_000006827",318,140,38,2,130,"Sodium"
"RAMP_C_000009108",29,15,3,2,9,"(Des-Gly)-Glutathione"
"RAMP_C_000009258",44,28,14,2,0,"(-)-Serine"
"RAMP_C_000009847",30,3,10,2,15,"(+)-3,17b-Estradiol"
"RAMP_C_000010147",408,265,4,2,125,"1,4-Dihydronicotinamideadeninedinucleotide"
"RAMP_C_000010957",385,226,16,2,118,"Carbonoxide"
"RAMP_C_000011542",40,32,6,2,0,"Armcoiron"
"RAMP_C_000013996",30,14,4,2,10,"5-Methyltetrahydrofolate"
"RAMP_C_000020131",350,144,7,2,181,"AcetoacetylcoenzymeAsodiumsalt"
"RAMP_C_000021697",55,27,12,2,14,"1,3-Dihydroxy-2-Propanonemono(dihydrogenphosphate)"
"RAMP_C_000025945",448,232,4,2,190,"2'-(Dihydrogenphosphate)5'-(trihydrogenpyrophosphate)Adenosine5'-esterwith1,4-dihydro-1-b-D-ribofuranosylnicotinamide"
"RAMP_C_000027043",44,15,10,2,17,"2-Hydroxy-1,2,3-propanetricarboxylate"
"RAMP_C_000030265",1357,555,12,2,683,"Dihydrogenoxide"
"RAMP_C_000034507",112,56,10,2,44,"3-(2-Aminoethyl)-1H-indol-5-ol"
"RAMP_C_000034567",118,64,14,2,38,"2-(3,4-Dihydroxyphenyl)ethylamine"
"RAMP_C_000035034",229,130,25,2,69,"AdekaSuperEL"
"RAMP_C_000035231",111,40,2,2,61,"5'-CMP"
"RAMP_C_000043709",40,17,5,2,16,"(+)-ascorbate"
"RAMP_C_000048918",33,7,5,2,13,"1-(Dihydrogenphosphate)Glycerol"
"RAMP_C_000055350",11,2,7,2,0,"3,3',5'-Triiodo-L-thyronine"
"RAMP_C_000057061",52,43,7,2,0,"(6S)-Tetrahydrofolate"
"RAMP_C_000063273",31,21,4,2,4,"2-(N(Omega)-L-arginine)succinate"
"RAMP_C_000066064",520,268,8,2,211,"3-Carbamoyl-1-beta-D-ribofuranosylpyridiniumhydroxide5'-esterwithadenosine5'-pyrophosphateinnersalt"
"RAMP_C_000066766",23,6,15,2,0,"3-Carboxypropylamine"
"RAMP_C_000067486",214,2,59,2,127,"1,2-Diacyl-sn-glycero-3-phospho-(1'-myo-inositol-3',4',5'-bisphosphate)"
"RAMP_C_000068238",10,1,2,2,5,"CDPEthanolamine"
"RAMP_C_000069306",567,168,23,2,337,"Hydrogencation"
"RAMP_C_000070561",20,7,4,2,7,"2-Amino-Ethanoldihydrogenphosphate"
"RAMP_C_000072847",22,1,3,2,12,"1-Amino-2-hydroxyethane"
"RAMP_C_000000037",61,0,7,1,48,"1-Docosahexaenoyl-2-g-linolenoyl-sn-glycero-3-phosphocholine"
"RAMP_C_000000085",49,0,8,1,31,"1-Meadoyl-2-(1-enyl-oleoyl)-sn-glycero-3-phosphoethanolamine"
