"metabolites","totpathways","hmdb","kegg","wiki","reac","Synonym"
"RAMP_C_000045908",1293,11,20,4,1021,"5'-(Tetrahydrogentriphosphate)Adenosine"
"RAMP_C_000039109",1101,0,11,5,872,"Adenosindiphosphorsaeure"
"RAMP_C_000052899",786,0,12,3,669,"Dihydrogenoxide"
"RAMP_C_000048149",544,0,5,4,469,"NFBOrthophosphate"
"RAMP_C_000071901",548,0,9,2,424,"5'-GTP"
"RAMP_C_000028080",412,1,23,3,345,"Hydrogencation"
"RAMP_C_000054848",388,0,6,3,330,"5'-GDP"
"RAMP_C_000012854",577,140,101,7,255,"Ca"
"RAMP_C_000046579",272,1,2,2,231,"(4-)Diphosphoricacidion"
"RAMP_C_000040513",252,0,6,2,227,"Dioxygen"
"RAMP_C_000031016",260,1,4,2,216,"Magnesium"
"RAMP_C_000010384",255,2,2,3,215,"Zinc"
"RAMP_C_000089311",239,5,8,3,200,"3-Carbamoyl-1-beta-D-ribofuranosylpyridiniumhydroxide5'-esterwithadenosine5'-pyrophosphateinnersalt"
"RAMP_C_000029850",223,0,4,3,195,"2'-(Dihydrogenphosphate)5'-(trihydrogenpyrophosphate)Adenosine5'-esterwith1,4-dihydro-1-b-D-ribofuranosylnicotinamide"
"RAMP_C_000078529",214,0,7,3,185,"AcetoacetylcoenzymeAsodiumsalt"
"RAMP_C_000111585",214,0,13,2,175,"1-Phosphatidyl-D-myo-inositol4,5-bisphosphate"
"RAMP_C_000100937",295,80,17,1,171,"5'-Adenosinemonophosphate"
"RAMP_C_000108137",212,20,5,4,162,"Adenine-nicotinamidedinucleotidephosphate"
"RAMP_C_000009161",176,0,31,5,135,"Ac-CoA"
"RAMP_C_000078586",187,2,39,3,132,"Sodium"
"RAMP_C_000026718",146,0,3,2,132,"1H-Purin-6-amineflavindinucleotide"
"RAMP_C_000045534",151,0,4,3,129,"1,4-Dihydronicotinamideadeninedinucleotide"
"RAMP_C_000051048",189,0,4,1,129,"Fe(III)"
"RAMP_C_000038316",211,0,59,3,125,"1,2-Diacyl-sn-glycero-3-phospho-(1'-myo-inositol-3',4',5'-bisphosphate)"
"RAMP_C_000019376",146,0,5,3,121,"ADEMETIONINE"
"RAMP_C_000060392",160,0,16,3,118,"Carbonoxide"
"RAMP_C_000049787",139,0,3,5,114,"(S)-5'-(S)-(3-Amino-3-carboxypropyl)-5'-thioadenosine"
"RAMP_C_000100558",110,0,2,1,103,"Manganese"
"RAMP_C_000113716",112,0,0,0,103,NA
"RAMP_C_000027108",122,0,12,2,85,"(3b,14b,17a)-Cholest-5-en-3-ol"
"RAMP_C_000079280",127,0,39,3,85,"K+"
"RAMP_C_000113220",89,0,0,0,83,NA
"RAMP_C_000111871",110,0,6,1,80,"1,2-Diacyl-sn-glycerol"
"RAMP_C_000000304",86,0,3,2,78,"5'-UTP"
"RAMP_C_000064155",106,0,20,3,78,"2-Ketoglutarate"
"RAMP_C_000076010",88,0,5,0,77,"alpha-Idosane"
"RAMP_C_000036180",5211,5125,3,4,76,"5'-(Tetrahydrogentriphosphate)cytidine"
"RAMP_C_000097955",92,0,6,1,72,"2-Hydroxyhexadecanoate"
"RAMP_C_000057788",100,0,25,3,69,"AdekaSuperEL"
"RAMP_C_000112251",79,0,1,0,65,"Double-strandedDNA"
"RAMP_C_000030383",93,0,21,3,64,"(all-Z)-5,8,11,14-Eicosatetraenoate"
"RAMP_C_000005587",80,2,5,2,63,"(protoporphyrinato)iron"
"RAMP_C_000089779",87,0,17,2,63,"1,2-Ethanedicarboxylate"
"RAMP_C_000015607",79,10,3,2,63,"5'-UDP"
"RAMP_C_000086040",75,3,2,3,61,"5'-CMP"
"RAMP_C_000102518",160,0,68,6,61,"1D-Myo-Inositol1,4,5-trisphosphate"
"RAMP_C_000058980",94,12,12,2,59,"Acetate"
"RAMP_C_000015765",152,11,68,6,58,"3'5'-CyclicAMP"
"RAMP_C_000059841",94,15,14,2,58,"Ammoniaanhydrous"
"RAMP_C_000066354",105,24,17,1,58,"Bertholite"
"RAMP_C_000009682",61,0,4,1,56,"UDP-N-Acetyl-a-D-glucosamine"
"RAMP_C_000000197",87,0,7,2,55,"1-Palmitoyl-2-linoleoyl-3-linoleoyl-glycerol"
"RAMP_C_000084790",68,0,7,2,54,"5'-GMP"
"RAMP_C_000050149",126,50,7,4,53,"Cys-Gly"
"RAMP_C_000005819",57,0,2,1,52,"5'-UMP"
"RAMP_C_000000877",80,0,6,2,51,"22:6Cholesterolester"
"RAMP_C_000000192",132,0,63,4,51,"1-Palmitoyl-2-arachidonyl-sn-glycerol"
"RAMP_C_000113077",51,0,0,0,51,NA
"RAMP_C_000043542",64,0,7,2,50,"3-O-Sn-Phosphatidyl-L-serine"
"RAMP_C_000082937",59,0,3,1,50,"3-Carbamoylpyridine"
"RAMP_C_000024476",49,0,0,0,49,"(2S)-2-amino-5-(carbamimidamido)Pentanoate"
"RAMP_C_000079739",91,0,32,4,48,"2-Oxopropanoate"
"RAMP_C_000025753",54,0,4,1,48,"Flanin"
"RAMP_C_000102346",49,0,1,0,48,"Ammoniaion"
"RAMP_C_000030990",51,0,3,1,47,"GDU"
"RAMP_C_000042736",57,0,7,0,47,"a-D-Glucopyranose"
"RAMP_C_000113529",50,0,0,0,47,NA
"RAMP_C_000028425",60,0,12,2,46,"(-)-(R)-Norepinephrine"
"RAMP_C_000111776",72,0,4,2,46,"Phospholipid"
"RAMP_C_000085071",56,0,10,4,42,"3-(2-Aminoethyl)-1H-indol-5-ol"
"RAMP_C_000080491",61,2,12,2,42,"1-(6-Amino-9H-purin-9-yl)-1-deoxy-beta-D-Ribofuranose"
"RAMP_C_000070239",50,0,3,1,41,"(9Z,12Z)-9,12-Octadecadienoate"
"RAMP_C_000071778",56,0,10,2,41,"Endotoxin"
"RAMP_C_000111358",51,0,1,0,40,"Peptide"
"RAMP_C_000104615",107,50,14,5,38,"2-(3,4-Dihydroxyphenyl)ethylamine"
"RAMP_C_000113439",41,0,0,0,38,NA
"RAMP_C_000047670",53,0,4,2,37,"Copper"
"RAMP_C_000037800",47,1,7,2,37,"(-)-(R)-Epinephrine"
"RAMP_C_000004357",45,0,8,1,36,"3,7-Dimethyl-9-(2,6,6-trimethyl-1-cyclohexenyl)-(2E,4Z,6E,8Z)-nonatetraen-1-oate"
"RAMP_C_000000083",39,0,2,1,36,"1-Palmitoyl-2-erucoyl-sn-glycero-3-phosphocholine"
"RAMP_C_000064042",46,0,3,1,35,"(9,12,15)-linolenate"
"RAMP_C_000112175",42,0,3,1,35,"Long-chainfattyacid"
