metabolites,numOfPathway
HMDB0001330,1
HMDB0003945,13
HMDB0000086,2
HMDB0006779,8
HMDB0001451,2
HMDB0001866,8
HMDB0000256,23
HMDB0000189,17
HMDB0000300,9
HMDB0060699,1
HMDB0001057,17
HMDB0014425,1
HMDB0014660,2
HMDB0004673,41
HMDB0010721,1
HMDB0002168,1
HMDB0000250,238
HMDB0000359,7
HMDB0001414,9
HMDB0015022,1
HMDB0012455,7
HMDB0003474,2
HMDB0000271,17
HMDB0001231,7
HMDB0000631,7
HMDB0006242,8
HMDB0014960,1
HMDB0001245,5
HMDB0015488,1
HMDB0005033,1
HMDB0001256,1
HMDB0000017,2
HMDB0014684,4
HMDB0000215,6
HMDB0000936,5
HMDB0001063,1
HMDB0000130,12
HMDB0006523,1
HMDB0000240,5
HMDB0014999,1
HMDB0015403,1
HMDB0000586,192
HMDB0006344,1
HMDB0000674,5
HMDB0000626,7
HMDB0006737,7
HMDB0011144,1
HMDB0014826,1
HMDB0060630,1
HMDB0006547,1
HMDB0014665,1
HMDB0014750,1
HMDB0002343,41
HMDB0002226,1
HMDB0001263,7
HMDB0000876,23
HMDB0001488,1
HMDB0002311,41
HMDB0002111,555
HMDB0000190,16
HMDB0001924,1
HMDB0010717,1
HMDB0003538,6
HMDB0004063,8
HMDB0000218,13
HMDB0000698,7
HMDB0001547,11
HMDB0000807,31
HMDB0001551,6
HMDB0000291,8
HMDB0000078,6
HMDB0001302,2
HMDB0001167,15
HMDB0006867,17
HMDB0000637,7
HMDB0006402,13
HMDB0060566,1
HMDB0000095,40
HMDB0015417,2
HMDB0010730,1
HMDB0000482,3
HMDB0013866,2
HMDB0013914,1
HMDB0004194,1
HMDB0000012,5
HMDB0000127,8
HMDB0000205,4
HMDB0006459,3
HMDB0001149,13
HMDB0006234,1
HMDB0001367,6
HMDB0014934,1
HMDB0006343,1
HMDB0001427,2
HMDB0001489,27
HMDB0000961,28
HMDB0014426,3
HMDB0015447,1
HMDB0001568,1
HMDB0014440,6
HMDB0014596,1
HMDB0001056,10
HMDB0004866,6
HMDB0014647,1
HMDB0001128,23
HMDB0015334,1
HMDB0009778,1
HMDB0006458,6
HMDB0004244,41
HMDB0005011,2
HMDB0006752,6
HMDB0000896,7
HMDB0000645,8
HMDB0015282,4
HMDB0000191,60
HMDB0011111,11
HMDB0000538,460
HMDB0059655,5
HMDB0000254,57
HMDB0015156,1
HMDB0000618,5
HMDB0003193,3
HMDB0001429,349
HMDB0014736,1
HMDB0001373,1
HMDB0000518,7
HMDB0003213,2
HMDB0015066,1
HMDB0001217,23
HMDB0004068,8
HMDB0015008,1
HMDB0000197,1
HMDB0031647,4
HMDB0000939,53
HMDB0000303,1
HMDB0001280,1
HMDB0006454,8
HMDB0000148,173
HMDB0014487,1
HMDB0014622,1
HMDB0001490,8
HMDB0006927,23
HMDB0006890,7
HMDB0004224,12
HMDB0000295,62
HMDB0000193,14
HMDB0001251,23
HMDB0008204,1
HMDB0005826,2
HMDB0015438,2
HMDB0000168,35
HMDB0000824,1
HMDB0000977,1
HMDB0000067,41
HMDB0005022,1
HMDB0000142,38
HMDB0006283,11
HMDB0004238,41
HMDB0001008,5
HMDB0015126,1
HMDB0002022,17
HMDB0014377,1
HMDB0003416,1
HMDB0000068,12
HMDB0001381,41
HMDB0014913,1
HMDB0000177,39
HMDB0014584,2
HMDB0001173,9
HMDB0014724,1
HMDB0014671,1
HMDB0010147,3
HMDB0004031,11
HMDB0004369,1
HMDB0060718,1
HMDB0001895,1
HMDB0015321,1
HMDB0001411,2
HMDB0001938,1
HMDB0004193,1
HMDB0015214,1
HMDB0015470,1
HMDB0004061,8
HMDB0000033,6
HMDB0014339,2
HMDB0015378,1
HMDB0000235,1
HMDB0060659,2
HMDB0015247,1
HMDB0001274,5
HMDB0006817,1
HMDB0006891,7
HMDB0001129,6
HMDB0011135,41
HMDB0003235,41
HMDB0014846,1
HMDB0060616,2
HMDB0014703,1
HMDB0015227,1
HMDB0001308,17
HMDB0013633,41
HMDB0006866,17
HMDB0014756,1
HMDB0001052,17
HMDB0000112,6
HMDB0000225,7
HMDB0001185,54
HMDB0014979,1
HMDB0014700,1
HMDB0005008,2
HMDB0060693,2
HMDB0000159,5
HMDB0000980,7
HMDB0000058,30
HMDB0003935,13
HMDB0014946,1
HMDB0006760,11
HMDB0001313,2
HMDB0000043,18
HMDB0001423,144
HMDB0001935,1
HMDB0005356,4
HMDB0006770,3
HMDB0000022,8
HMDB0014709,1
HMDB0014612,1
HMDB0000038,10
