metabolites,numOfPathway
C15613,1
C03680,1
C01487,2
C04797,1
C03455,1
C01101,2
C16577,1
C05965,3
C21016,1
C09155,1
C00605,1
C05973,1
C06456,1
C01304,2
C16010,6
C02571,1
C05818,1
C06002,2
C05927,1
C02632,1
C00012,1
C04577,1
C16682,1
C20781,1
C16086,1
C12210,1
C16085,1
C03459,1
C01216,1
C00156,3
C01727,1
C05795,1
C01210,1
C00640,1
C06999,1
C03981,1
C07446,1
C05345,4
C11596,1
C04287,1
C16432,1
C18133,1
C05663,1
C01847,1
C01246,1
C05140,1
C05644,1
C17268,1
C18160,1
C00988,1
C00468,3
C16122,1
C00365,2
C02084,1
C05964,2
C16554,1
C20285,1
C15652,1
C17010,1
C03087,1
C15780,1
C16567,1
C15522,1
C06506,1
C16663,1
C04853,1
C00006,4
C03296,1
C00881,1
C16688,1
C00479,1
C05575,1
C15645,1
C20374,1
C15524,1
C05768,1
C02225,1
C00350,7
C06481,2
C06118,1
C21015,1
C17401,1
C04022,1
C03621,1
C16678,1
C00868,1
C00092,9
C18319,1
C05338,1
C16680,1
C19673,1
C00545,1
C00857,1
C02412,1
C03160,1
C18157,1
C01268,1
C03758,13
C00461,1
C00013,2
C17951,1
C05942,1
C20955,1
C01367,1
C16362,1
C00971,1
C03127,1
C14774,2
C20972,1
C01019,2
C19255,1
C01902,1
C00129,2
C00886,1
C17938,1
C13050,4
C16155,1
C05636,1
C00800,2
C00197,7
C00040,7
C04227,1
C16016,1
C00762,4
C19605,2
C05349,1
C05852,1
C04092,1
C13508,1
C18287,1
C16126,1
C00398,2
C05938,1
C00134,4
C16737,1
C05585,1
C05781,1
C04442,1
C05683,1
C04688,1
C05749,1
C05448,1
C06049,1
C03291,2
C04630,1
C06510,1
C18003,1
C14786,1
C02167,1
C16034,1
C05783,1
C03640,1
C06000,1
C17551,1
C00155,4
C14846,1
C05745,1
C20283,1
C21431,1
C00354,4
C16243,1
C00450,1
C21279,1
C21258,1
C03917,3
C05335,1
C02305,1
C00464,1
C02537,1
C05859,1
C05472,1
C17948,1
C00185,2
C05258,2
C00757,1
C01267,1
C20318,1
C01089,3
C08822,1
C03619,1
C20333,1
C00001,11
C06195,1
C01056,1
C00826,1
C05917,1
C18021,1
C14151,1
C14802,1
C01909,1
C05447,1
C01040,1
C14765,1
C21479,1
C00596,1
C01571,1
C15607,1
C02411,1
C17561,1
C05814,1
C20294,1
C17706,1
C01213,3
C02918,2
C17703,1
C00835,1
C00026,16
C05512,1
C02939,1
C07663,1
C20970,1
C21433,1
C00114,6
C05785,1
C01190,1
C02483,1
C00681,7
C19852,1
C03659,1
C06127,1
C05588,1
C05401,2
C17935,1
C16623,1
C14768,5
C00394,2
C16516,1
C01586,1
C05813,1
C00275,3
C01107,1
C16527,2
C16513,1
C00503,1
C03344,1
C14782,1
C16153,1
C05231,1
C02047,1
C16352,1
C00089,5
C00104,1
C04226,1
C00630,2
C05500,1
C02110,2
C00153,2
C00167,3
C19823,1
C16327,1
C17027,1
C05477,1
C00184,1
C03125,1
C00628,1
C16650,1
C11036,1
C01620,1
C00780,9
C19757,1
C21481,1
C03375,1
C01249,1
C19567,3
C03819,1
C00096,4
C01684,1
C16518,1
C03506,1
C05960,1
C00376,3
C06433,1
C00645,1
C00944,1
C11453,1
C05747,1
C00623,1
C05113,1
C15979,1
C14749,1
C13523,3
C06054,1
C05516,1
C20698,1
C05440,1
C17554,1
C21641,1
C04498,1
C05131,1
C00253,2
C00362,1
C05789,1
C20396,1
C14154,1
C19562,2
C05481,1
C02617,1
C12284,2
C03511,1
C16653,1
C05926,1
C01279,2
C00230,1
C16323,1
C02995,1
C00110,1
C05912,1
C00446,2
C15915,1
C00641,5
C02336,1
C05127,1
C05914,1
C06508,1
C15492,1
C00788,6
C16136,1
C04186,1
C01300,1
C00116,6
C05005,1
C15646,1
C16357,1
C18153,1
C19161,1
C05235,1
C16584,1
C00291,1
C07585,1
C18237,2
C12145,1
C00320,3
C05635,2
C05923,1
C01044,1
C14772,2
C00969,1
C01371,1
C03069,1
C05652,1
C00671,2
C05832,1
C15980,1
C05766,1
C16612,1
C16051,3
C05526,1
C00763,1
C17559,1
C21007,1
C20372,1
C00084,6
C02265,2
C06007,1
C07639,1
C20395,1
C05595,1
C00808,1
C01929,1
C16999,1
C20793,1
C00606,2
C20654,1
C00208,4
C16719,1
C03345,1
C01508,1
C01170,1
C18893,1
C06142,1
C05451,1
C01794,1
C00527,3
C02930,1
C06250,1
C04590,1
C16112,1
C18156,1
C11538,1
C05847,1
C04133,1
C16557,1
C00071,1
C14779,1
C05293,1
C16366,1
C00002,19
C11554,4
C02938,1
C21284,1
C02470,1
C07047,1
C05578,1
C15972,5
C15901,1
C02937,1
C20422,1
C20898,2
C00337,1
C04637,12
C00299,1
C02321,1
C00231,4
C10447,1
C05797,1
C05265,2
C05955,2
C13662,2
C00227,2
C05568,1
C14847,1
C18009,1
C18174,1
C21510,1
C01073,1
C02320,1
C05396,1
C00035,5
C12622,1
C06752,1
C03451,1
C13425,1
C03227,1
C04242,1
C16238,1
C16681,1
C11145,1
C01606,1
C05809,1
C00204,2
C17326,1
C04518,1
C00658,1
C00588,2
C11135,1
C00315,5
C20289,1
C14784,1
C14836,1
C06178,1
C00128,1
C07054,1
C05954,2
C01020,1
C15493,7
C17584,1
C06052,1
C00593,1
C16005,2
C21428,1
C19489,2
C16130,1
C09332,1
C01769,1
C16162,1
C04604,1
C00506,3
C01917,1
C07644,1
C05385,3
C20897,1
C15651,1
C06153,1
C00082,15
C06416,1
C01260,1
C05784,1
C01498,1
C02075,2
C20672,1
C15606,1
C16121,1
C01142,1
C00460,1
C12126,2
C02170,3
C16137,1
C06376,1
C01146,2
C03589,1
C14821,2
C14795,1
C04042,1
C01673,4
C19848,1
C04039,1
C20784,1
C19787,1
C14841,1
C00879,1
C00179,1
C16345,1
C14717,1
C00434,1
C00476,1
C00255,2
C00192,1
C16135,1
C02273,2
C06428,1
C06038,1
C04122,1
C03454,1
C06365,1
C21310,1
C01801,1
C06341,1
C11526,1
C16326,1
C01159,1
C07051,1
C00099,6
C11437,2
C19891,1
C05686,1
C00672,2
C19579,2
C16541,1
C05932,1
C00372,1
C07335,1
C01063,1
C01780,3
C05947,1
C02535,1
C03114,2
C05336,1
C20375,1
C05399,1
C04145,2
C16054,2
