metabolites,numOfPathway
,1
81-25-4,1
HMDB03288,1
17485,1
28319-77-9,1
439199,1
16635,1
HMDB03178,1
HMDB01269,1
HMDB01270,1
HMDB15084,1
702,1
C15851,1
HMDB01204,1
4707,1
C03372,1
HMDB00157,1
17756737,1
C15852,1
26536,1
28136,1
1014,1
49562-28-9,1
C00533,1
16561-29-8,1
4509492,1
35780,1
HMDB00929,1
25244872,1
HMDB05038,1
HMDB00828,1
HMDB00656,1
24123,1
HMDB06875,1
HMDB02190,1
HMDB06216,1
HMDB03099,1
C15972,1
7325,1
15682,1
59-56-3,1
22833501,1
HMDB13037,1
HMDB00901,1
169,1
C02530,1
HMDB01132,1
HMDB01976,1
C00006,1
5753,1
HMDB05849,1
47775,1
38551,1
29126,1
16908,1
79-63-0,1
29036,1
85-32-5,1
28002,1
5287844,1
57-04-5,1
HMDB00214,1
108150,1
HMDB41959,1
1420-36-6,1
C01165,1
5884,1
HMDB01206,1
HMDB01375,1
C00118,1
184751,1
C00049,1
33848,1
65399,1
114805,1
16469,1
34756,1
34718,1
C00681,1
HMDB03349,1
HMDB00687,1
26034,1
HMDB03993,1
5288642,1
10474509,1
17045,1
37554,1
39025,1
15361,1
HMDB11110,1
439456,1
16796,1
HMDB01139,1
HMDB00870,1
C00092,1
HMDB12210,1
HMDB01860,1
753,1
HMDB01022,1
97272,1
HMDB00187,1
HMDB05784,1
HMDB01321,1
C00422,1
19641,1
HMDB14842,1
608-07-1,1
 HMDB02174,1
24701488,1
HMDB04949,1
C00213,1
C01834,1
145068,1
114862,1
36707,1
HMDB01052,1
3397,1
HMDB04853,1
57-91-0,1
C05726,1
145-13-1,1
HMDB01003,1
HMDB00190,1
52329,1
18348,1
HMDB01126,1
892,1
4350-09-8,1
21350391,1
7048686,1
456190,1
16624,1
388896,1
48760,1
59-30-3,1
69-89-6,1
36712,1
C00074,1
35703,1
17202,1
574-17-4,1
26519,1
HMDB00140,1
HMDB41815,1
3081372,1
16218944,1
68-94-0,1
HMDB06112,1
6176,1
6197,1
70-47-3,1
