"metabolites","totpathways","hmdb","kegg","wiki","reac","Synonym"
"RAMP_C_000046995",1706,460,20,3,1223,"5'-(Tetrahydrogentriphosphate)Adenosine"
"RAMP_C_000029981",1421,358,11,3,1049,"Adenosindiphosphorsaeure"
"RAMP_C_000057362",1357,555,12,2,788,"Dihydrogenoxide"
"RAMP_C_000015341",915,349,5,2,559,"NFBOrthophosphate"
"RAMP_C_000049843",728,257,101,4,366,"Ca"
"RAMP_C_000033113",666,104,9,1,552,"5'-GTP"
"RAMP_C_000073691",605,304,4,0,297,"Magnesium"
"RAMP_C_000020101",575,168,23,2,382,"Hydrogencation"
"RAMP_C_000073280",520,268,8,2,242,"3-Carbamoyl-1-beta-D-ribofuranosylpyridiniumhydroxide5'-esterwithadenosine5'-pyrophosphateinnersalt"
"RAMP_C_000037019",510,238,2,0,270,"(4-)Diphosphoricacidion"
"RAMP_C_000034391",504,258,6,1,239,"Dioxygen"
"RAMP_C_000030731",465,62,6,1,396,"5'-GDP"
"RAMP_C_000051958",448,232,4,2,210,"2'-(Dihydrogenphosphate)5'-(trihydrogenpyrophosphate)Adenosine5'-esterwith1,4-dihydro-1-b-D-ribofuranosylnicotinamide"
"RAMP_C_000063791",417,233,5,2,177,"Adenine-nicotinamidedinucleotidephosphate"
"RAMP_C_000066351",410,178,2,0,230,"Zinc"
"RAMP_C_000069547",408,265,4,2,137,"1,4-Dihydronicotinamideadeninedinucleotide"
"RAMP_C_000010877",385,226,16,2,141,"Carbonoxide"
"RAMP_C_000035163",375,155,17,0,203,"5'-Adenosinemonophosphate"
"RAMP_C_000037658",361,219,3,1,138,"1H-Purin-6-amineflavindinucleotide"
"RAMP_C_000069034",318,140,38,2,138,"Sodium"
"RAMP_C_000026837",314,192,39,0,83,"K+"
"RAMP_C_000039053",301,128,31,3,139,"Ac-CoA"
"RAMP_C_000057641",257,183,5,0,69,"(protoporphyrinato)iron"
"RAMP_C_000002906",229,130,25,2,72,"AdekaSuperEL"
"RAMP_C_000043583",221,116,20,2,83,"2-Ketoglutarate"
"RAMP_C_000050961",218,67,0,0,151,"Manganese"
"RAMP_C_000013428",217,54,68,4,91,"1D-Myo-Inositol1,4,5-trisphosphate"
"RAMP_C_000031993",214,173,40,1,0,"(2S)-2-Aminopentanedioate"
"RAMP_C_000037249",214,2,59,2,151,"1,2-Diacyl-sn-glycero-3-phospho-(1'-myo-inositol-3',4',5'-bisphosphate)"
"RAMP_C_000022468",205,0,7,1,197,"CoA"
"RAMP_C_000032369",198,120,14,1,63,"Ammoniaanhydrous"
"RAMP_C_000003778",192,54,5,1,132,"(3S)-5'-[(3-amino-3-carboxypropyl)methylsulfonio]-5'-deoxyadenosine"
"RAMP_C_000072338",184,53,3,3,125,"(S)-5'-(S)-(3-Amino-3-carboxypropyl)-5'-thioadenosine"
"RAMP_C_000026055",180,137,4,0,39,"ApolonB6"
"RAMP_C_000034904",175,30,68,3,74,"3'5'-CyclicAMP"
"RAMP_C_000012117",173,54,0,0,119,"ironatom"
"RAMP_C_000005680",157,68,32,3,54,"2-Oxopropanoate"
"RAMP_C_000035085",145,104,10,1,30,"Bicarbonate"
"RAMP_C_000040110",143,57,17,1,68,"1,2-Ethanedicarboxylate"
"RAMP_C_000001974",142,0,63,2,77,"1-Stearoyl-2-palmitoyl-sn-glycerol"
"RAMP_C_000007648",141,59,3,0,79,"5'-UTP"
"RAMP_C_000047572",139,78,4,1,56,"Fe(III)"
"RAMP_C_000048067",134,43,21,1,69,"(all-Z)-5,8,11,14-Eicosatetraenoate"
"RAMP_C_000016889",130,63,7,2,58,"5-L-Glutamyl-L-cysteinylglycine"
"RAMP_C_000033347",129,0,4,0,125,"alpha-Idosane"
"RAMP_C_000052423",129,62,3,0,64,"5'-UDP"
"RAMP_C_000044036",127,44,3,1,79,"5'-(Tetrahydrogentriphosphate)cytidine"
"RAMP_C_000064077",122,63,12,0,47,"(-)-(R)-Norepinephrine"
"RAMP_C_000011319",118,64,14,2,38,"2-(3,4-Dihydroxyphenyl)ethylamine"
"RAMP_C_000001066",117,54,7,0,56,"5'-GMP"
"RAMP_C_000051154",113,24,6,0,83,"1-Hexyldecanoate"
"RAMP_C_000068555",112,56,10,2,44,"3-(2-Aminoethyl)-1H-indol-5-ol"
"RAMP_C_000033961",111,40,2,2,67,"5'-CMP"
"RAMP_C_000001970",102,0,0,0,102,"4-Methylpentanoicacidmethylester"
"RAMP_C_000004817",102,20,12,1,69,"Acetate"
"RAMP_C_000059081",97,72,13,1,11,"3-Acetoacetyl-CoA"
"RAMP_C_000014746",96,76,19,1,0,"2-Aminoacetate"
"RAMP_C_000063141",95,69,12,1,13,"2-Ketosuccinate"
"RAMP_C_000072478",95,39,2,0,54,"5'-UMP"
"RAMP_C_000037188",93,53,3,1,36,"(2S)-2-azaniumyl-4-{[(1R)-2-{[(2R)-2-[(4S)-4-azaniumyl-4-carboxylatobutanamido]-2-[(carboxylatomethyl)carbamoyl]ethyl]disulfanyl}-1-[(carboxylatomethyl)carbamoyl]ethyl]carbamoyl}butanoate"
"RAMP_C_000006095",86,21,9,0,56,"(UDP)glucose"
"RAMP_C_000033805",86,86,0,0,0,"Bertholite"
"RAMP_C_000011360",85,66,4,0,15,"(+)-Biotin"
"RAMP_C_000022334",85,28,7,0,50,"a-D-Glucopyranose"
"RAMP_C_000030380",85,65,15,1,4,"(2E)-But-2-enedioate"
"RAMP_C_000051705",85,29,12,0,44,"1-(6-Amino-9H-purin-9-yl)-1-deoxy-beta-D-Ribofuranose"
"RAMP_C_000038634",82,66,15,1,0,"(+)-2-Amino-3-mercaptopropionicacid"
"RAMP_C_000064187",81,42,4,0,35,"a-D-Glucopyranuronicacid1->5'-esterwithuridine5'-(trihydrogenpyrophosphate)"
"RAMP_C_000000175",80,0,6,2,72,"1-Palmitoleoyl-2-stearoyl-3-arachidonyl-glycerol"
"RAMP_C_000065340",79,63,4,0,12,"(+)-Aldosterone"
"RAMP_C_000039710",78,60,17,1,0,"Asp"
"RAMP_C_000000447",77,41,2,0,34,"1-Myristoyl-glycero-3-phosphocholine"
"RAMP_C_000019167",77,1,3,0,73,"3-Carbamoylpyridine"
"RAMP_C_000049611",77,26,4,0,47,"Flanin"
"RAMP_C_000051478",77,43,7,0,27,"(5Z,13E)-(15S)-9,15-dihydroxy-11-oxoprosta-5,13-dienoate"
"RAMP_C_000049056",76,52,8,1,15,"CoAS-(hydrogensuccinate)"
