"metabolites","totpathways","hmdb","kegg","wiki","reac","Synonym"
"RAMP_C_000030265",1357,555,12,2,683,"Dihydrogenoxide"
"RAMP_C_000005676",1706,460,20,3,991,"5'-(Tetrahydrogentriphosphate)Adenosine"
"RAMP_C_000041210",1421,358,11,3,842,"Adenosindiphosphorsaeure"
"RAMP_C_000043368",350,349,0,1,0,"NFBOrthophosphate"
"RAMP_C_000024600",605,304,4,0,257,"Magnesium"
"RAMP_C_000066064",520,268,8,2,211,"3-Carbamoyl-1-beta-D-ribofuranosylpyridiniumhydroxide5'-esterwithadenosine5'-pyrophosphateinnersalt"
"RAMP_C_000010147",408,265,4,2,125,"1,4-Dihydronicotinamideadeninedinucleotide"
"RAMP_C_000009910",504,258,6,1,222,"Dioxygen"
"RAMP_C_000026185",729,257,101,5,287,"Ca"
"RAMP_C_000065689",510,238,2,0,237,"(4-)Diphosphoricacidion"
"RAMP_C_000023671",418,233,5,3,157,"Adenine-nicotinamidedinucleotidephosphate"
"RAMP_C_000025945",448,232,4,2,190,"2'-(Dihydrogenphosphate)5'-(trihydrogenpyrophosphate)Adenosine5'-esterwith1,4-dihydro-1-b-D-ribofuranosylnicotinamide"
"RAMP_C_000010957",385,226,16,2,118,"Carbonoxide"
"RAMP_C_000029858",361,219,3,1,130,"1H-Purin-6-amineflavindinucleotide"
"RAMP_C_000040040",314,192,39,0,83,"K+"
"RAMP_C_000010430",257,183,5,0,61,"(protoporphyrinato)iron"
"RAMP_C_000044924",410,178,2,0,203,"Zinc"
"RAMP_C_000042038",214,173,40,1,0,"(2S)-2-Aminopentanedioate"
"RAMP_C_000069306",567,168,23,2,337,"Hydrogencation"
"RAMP_C_000042450",375,155,17,0,177,"5'-Adenosinemonophosphate"
"RAMP_C_000020131",350,144,7,2,181,"AcetoacetylcoenzymeAsodiumsalt"
"RAMP_C_000006827",318,140,38,2,130,"Sodium"
"RAMP_C_000045592",180,137,4,0,32,"ApolonB6"
"RAMP_C_000035034",229,130,25,2,69,"AdekaSuperEL"
"RAMP_C_000017358",301,128,31,3,134,"Ac-CoA"
"RAMP_C_000025040",198,120,14,1,58,"Ammoniaanhydrous"
"RAMP_C_000049052",216,116,20,1,74,"2-Ketoglutarate"
"RAMP_C_000057173",145,104,10,1,30,"Bicarbonate"
"RAMP_C_000074172",666,104,9,1,431,"5'-GTP"
"RAMP_C_000013438",656,91,5,1,497,"Acidephosphorique(FRENCH)"
"RAMP_C_000041282",86,86,0,0,0,"Bertholite"
"RAMP_C_000013855",139,78,4,1,47,"Fe(III)"
"RAMP_C_000004917",96,76,19,1,0,"2-Aminoacetate"
"RAMP_C_000070922",97,72,13,1,11,"3-Acetoacetyl-CoA"
"RAMP_C_000014563",95,69,12,1,13,"2-Ketosuccinate"
"RAMP_C_000025223",157,68,32,3,47,"2-Oxopropanoate"
"RAMP_C_000047957",218,67,0,0,147,"Manganese"
"RAMP_C_000008945",82,66,15,1,0,"(+)-2-Amino-3-mercaptopropionicacid"
"RAMP_C_000051613",85,66,4,0,15,"(+)-Biotin"
"RAMP_C_000073935",85,65,15,1,4,"(2E)-But-2-enedioate"
"RAMP_C_000034567",118,64,14,2,38,"2-(3,4-Dihydroxyphenyl)ethylamine"
"RAMP_C_000004786",130,63,7,2,53,"5-L-Glutamyl-L-cysteinylglycine"
"RAMP_C_000009619",122,63,12,0,47,"(-)-(R)-Norepinephrine"
