"metabolites","totpathways","hmdb","kegg","wiki","reac","Synonym"
"RAMP_C_000046995",1706,460,20,3,1223,"5'-(Tetrahydrogentriphosphate)Adenosine"
"RAMP_C_000029981",1421,358,11,3,1049,"Adenosindiphosphorsaeure"
"RAMP_C_000057362",1357,555,12,2,788,"Dihydrogenoxide"
"RAMP_C_000015341",915,349,5,2,559,"NFBOrthophosphate"
"RAMP_C_000049843",728,257,101,4,366,"Ca"
"RAMP_C_000033113",666,104,9,1,552,"5'-GTP"
"RAMP_C_000020101",575,168,23,2,382,"Hydrogencation"
"RAMP_C_000073280",520,268,8,2,242,"3-Carbamoyl-1-beta-D-ribofuranosylpyridiniumhydroxide5'-esterwithadenosine5'-pyrophosphateinnersalt"
"RAMP_C_000034391",504,258,6,1,239,"Dioxygen"
"RAMP_C_000030731",465,62,6,1,396,"5'-GDP"
"RAMP_C_000051958",448,232,4,2,210,"2'-(Dihydrogenphosphate)5'-(trihydrogenpyrophosphate)Adenosine5'-esterwith1,4-dihydro-1-b-D-ribofuranosylnicotinamide"
"RAMP_C_000063791",417,233,5,2,177,"Adenine-nicotinamidedinucleotidephosphate"
"RAMP_C_000069547",408,265,4,2,137,"1,4-Dihydronicotinamideadeninedinucleotide"
"RAMP_C_000010877",385,226,16,2,141,"Carbonoxide"
"RAMP_C_000037658",361,219,3,1,138,"1H-Purin-6-amineflavindinucleotide"
"RAMP_C_000069034",318,140,38,2,138,"Sodium"
"RAMP_C_000039053",301,128,31,3,139,"Ac-CoA"
"RAMP_C_000002906",229,130,25,2,72,"AdekaSuperEL"
"RAMP_C_000074580",228,0,0,1,227,"1-phosphatidyl-1D-myo-inositol4,5-bisphosphate"
"RAMP_C_000043583",221,116,20,2,83,"2-Ketoglutarate"
"RAMP_C_000013428",217,54,68,4,91,"1D-Myo-Inositol1,4,5-trisphosphate"
"RAMP_C_000031993",214,173,40,1,0,"(2S)-2-Aminopentanedioate"
"RAMP_C_000037249",214,2,59,2,151,"1,2-Diacyl-sn-glycero-3-phospho-(1'-myo-inositol-3',4',5'-bisphosphate)"
"RAMP_C_000022468",205,0,7,1,197,"CoA"
"RAMP_C_000032369",198,120,14,1,63,"Ammoniaanhydrous"
"RAMP_C_000003778",192,54,5,1,132,"(3S)-5'-[(3-amino-3-carboxypropyl)methylsulfonio]-5'-deoxyadenosine"
"RAMP_C_000072338",184,53,3,3,125,"(S)-5'-(S)-(3-Amino-3-carboxypropyl)-5'-thioadenosine"
"RAMP_C_000034904",175,30,68,3,74,"3'5'-CyclicAMP"
"RAMP_C_000005680",157,68,32,3,54,"2-Oxopropanoate"
"RAMP_C_000035085",145,104,10,1,30,"Bicarbonate"
"RAMP_C_000059450",145,144,0,1,0,"AcetoacetylcoenzymeAsodiumsalt"
"RAMP_C_000040110",143,57,17,1,68,"1,2-Ethanedicarboxylate"
"RAMP_C_000001974",142,0,63,2,77,"1-Stearoyl-2-palmitoyl-sn-glycerol"
"RAMP_C_000047572",139,78,4,1,56,"Fe(III)"
"RAMP_C_000048067",134,43,21,1,69,"(all-Z)-5,8,11,14-Eicosatetraenoate"
"RAMP_C_000016889",130,63,7,2,58,"5-L-Glutamyl-L-cysteinylglycine"
"RAMP_C_000044036",127,44,3,1,79,"5'-(Tetrahydrogentriphosphate)cytidine"
"RAMP_C_000011319",118,64,14,2,38,"2-(3,4-Dihydroxyphenyl)ethylamine"
"RAMP_C_000068555",112,56,10,2,44,"3-(2-Aminoethyl)-1H-indol-5-ol"
"RAMP_C_000033961",111,40,2,2,67,"5'-CMP"
"RAMP_C_000004817",102,20,12,1,69,"Acetate"
"RAMP_C_000059081",97,72,13,1,11,"3-Acetoacetyl-CoA"
"RAMP_C_000014746",96,76,19,1,0,"2-Aminoacetate"
"RAMP_C_000063141",95,69,12,1,13,"2-Ketosuccinate"
"RAMP_C_000037188",93,53,3,1,36,"(2S)-2-azaniumyl-4-{[(1R)-2-{[(2R)-2-[(4S)-4-azaniumyl-4-carboxylatobutanamido]-2-[(carboxylatomethyl)carbamoyl]ethyl]disulfanyl}-1-[(carboxylatomethyl)carbamoyl]ethyl]carbamoyl}butanoate"
"RAMP_C_000030380",85,65,15,1,4,"(2E)-But-2-enedioate"
"RAMP_C_000038634",82,66,15,1,0,"(+)-2-Amino-3-mercaptopropionicacid"
"RAMP_C_000000175",80,0,6,2,72,"1-Palmitoleoyl-2-stearoyl-3-arachidonyl-glycerol"
"RAMP_C_000039710",78,60,17,1,0,"Asp"
"RAMP_C_000049056",76,52,8,1,15,"CoAS-(hydrogensuccinate)"
"RAMP_C_000023270",74,12,34,3,25,"Mononitrogenmonoxide"
"RAMP_C_000001499",73,0,5,2,66,"(3beta)-Cholest-5-en-3-oldodecanoate"
"RAMP_C_000051391",70,43,7,2,18,"(6S)-Tetrahydrofolate"
"RAMP_C_000028211",67,50,8,1,8,"Thaiminepyrophosphate"
"RAMP_C_000033603",65,15,13,1,36,"Acetylcholineion"
"RAMP_C_000007309",62,24,9,1,28,"HexadecanoylCoA"
"RAMP_C_000000060",61,0,7,1,53,"1-Myristoyl-2-docosadienoyl-sn-glycero-3-phosphocholine"
"RAMP_C_000074986",61,0,0,1,60,"phospholipid"
"RAMP_C_000010324",60,50,9,1,0,"(2S)-2-amino-4-(methylsulfanyl)butanoate"
"RAMP_C_000012156",60,0,6,1,53,"1-Stearoyl-2-docosahexaenoyl-sn-glycero-3-phosphoserine"
"RAMP_C_000023313",58,33,24,1,0,"RoferoseST"
"RAMP_C_000016257",55,27,12,2,14,"1,3-Dihydroxy-2-Propanonemono(dihydrogenphosphate)"
"RAMP_C_000058388",55,11,7,1,36,"(2-Hydroxyethyl)trimethylammonium"
"RAMP_C_000059331",55,16,9,1,29,"(+)-Lactate"
"RAMP_C_000035540",54,16,2,1,35,"1,5-Dihydro-FAD"
"RAMP_C_000027408",52,14,5,1,32,"3'-Phospho-5'-adenylylsulfate"
"RAMP_C_000001845",51,21,11,1,18,"(-)-(S)-Malate"
"RAMP_C_000000077",49,0,8,1,40,"1-Stearidonoyl-2-lignoceroyl-sn-glycero-3-phosphoethanolamine"
"RAMP_C_000014838",49,33,8,1,7,"Carbamicacidmonoanhydridewithphosphorate"
"RAMP_C_000006734",47,6,7,1,33,"1,2,3-Trihydroxypropane"
"RAMP_C_000050770",47,16,4,1,26,"Myristoyl-CoA"
"RAMP_C_000060482",47,24,11,1,11,"2-Hydroxy-Acrylicaciddihydrogenphosphate"
