ID,CRC.222,CRC.57,CRC.82,CRC.220,CRC.90,CRC.180,CRC.151,CRC.143,CRC.235,CRC.238,CRC.104,CRC.160,CRC.97,CRC.66,CRC.96,CRC.134,CRC.207,CRC.132,CRC.190,CRC.204,CRC.102,CRC.121,CRC.144,CRC.17,CRC.50,CRC.9,CRC.145,CRC.199,CRC.136,CRC.6,CRC.225,CRC.110,CRC.152,CRC.46,CRC.157,CRC.118,CRC.149,CRC.48,CRC.206,CRC.5,CRC.47,CRC.60,CRC.219,CRC.27,CRC.169,CRC.231,CRC.119,CRC.18,CRC.164,CRC.163,CRC.130,CRC.100,CRC.191,CRC.173,CRC.109,CRC.205,CRC.55,CRC.183,CRC.116,CRC.87,CRC.88,CRC.139,CRC.166,CRC.77,CRC.86,CRC.175,CRC.23,CRC.105,CRC.10,CRC.141,CRC.52,CRC.215,CRC.198,CRC.12,CRC.42,CRC.240,CRC.58,CRC.233,CRC.171,CRC.53,CRC.44,CRC.93,CRC.35,CRC.39,CRC.80,CRC.224,CRC.140,CRC.36,CRC.65,CRC.22,CRC.43,CRC.192,CRC.216,CRC.229,CRC.232,CRC.189,CRC.135,CRC.7,CRC.146,CRC.156,CRC.178,CRC.25,CRC.227,CRC.213,CRC.195,CRC.237,CRC.214,CRC.234,CRC.186,CRC.197,CRC.188,CRC.172,CRC.210,CRC.182,CRC.89,CRC.24,CRC.174,CRC.113,CRC.211,CRC.239,CRC.40,CRC.161,CRC.202,CRC.230,CRC.201,CRC.170,CRC.196,CRC.19,CRC.194,CRC.177,CRC.193
Root;k__Archaea,0,0,0,0.000347766,0,0.000284981,0,0,7.86E-05,0,0,0,0,0,0,0,0,0,0,0.000909504,0,0,0.000292483,0,0,0.000528541,0,0,0,0.000175593,0.000171292,0,0,0,0,0,0,0,0.0003108,0,0,0,0,0,0,0,0,0,0,0.000307125,0,0.000221337,0,0,0,0,0,0,0.00106082,0.000160102,0,0,0.00058548,0.000256345,0.000272777,0,0,0,0,0,0,0.000263713,0,0.000554939,0,0.000157282,0,0,0.000549451,0.000267989,0,0,0,0.000178795,0,0,0,0,0,0,0,0,0,0,0,0,0.00023015,0,0,0,0,0,0.000189825,0.000183638,0.000285741,0,0.000849077,0,0,0,0,0.000396354,0,0,0,0,0,0,0.0003465,0.000924784,0,0,0,0.000317813,0,0,0,0,0,0,0
Root;k__Bacteria,1,1,1,0.999652234,1,0.999715019,1,1,0.999921377,1,1,1,1,1,1,1,1,1,1,0.999090496,1,1,0.999707517,1,1,0.999471459,1,1,1,0.999824407,0.999828708,1,1,1,1,1,1,1,0.9996892,1,1,1,1,1,1,1,1,1,1,0.999692875,1,0.999778663,1,1,1,1,1,1,0.99893918,0.999839898,1,1,0.99941452,0.999743655,0.999727223,1,1,1,1,1,1,0.999736287,1,0.999445061,1,0.999842718,1,1,0.999450549,0.999732011,1,1,1,0.999821205,1,1,1,1,1,1,1,1,1,1,1,1,0.99976985,1,1,1,1,1,0.999810175,0.999816362,0.999714259,1,0.999150923,1,1,1,1,0.999603646,1,1,1,1,1,1,0.9996535,0.999075216,1,1,1,0.999682187,1,1,1,1,1,1,1
Root;k__Archaea;p__Euryarchaeota,0,0,0,0.000347766,0,0.000284981,0,0,7.86E-05,0,0,0,0,0,0,0,0,0,0,0.000909504,0,0,0.000292483,0,0,0.000211416,0,0,0,0.000175593,0.000171292,0,0,0,0,0,0,0,0.0003108,0,0,0,0,0,0,0,0,0,0,0,0,0.000221337,0,0,0,0,0,0,0.00106082,0.000160102,0,0,0.00058548,0.000256345,0.000272777,0,0,0,0,0,0,0.000263713,0,0.000554939,0,0.000157282,0,0,0.000549451,0.000267989,0,0,0,0.000178795,0,0,0,0,0,0,0,0,0,0,0,0,0.00023015,0,0,0,0,0,0.000189825,0.000183638,0.000285741,0,0.000636807,0,0,0,0,0.000396354,0,0,0,0,0,0,0.0003465,0.000924784,0,0,0,0.000317813,0,0,0,0,0,0,0
Root;k__Bacteria;p__,0,0,0.000254194,0,0,0,0.031746032,0.000829187,0,0,0,0,0.000546896,0,0,0.000859353,0,0.001834301,0,0,0,0.00021106,0.001462416,0,0,0.000211416,0,0,0,0.000175593,0,0.000780183,0,0.001419698,0,0,0,0.000643294,0,0,0,0,0,0,0,0.000856348,0,0,0,0.002457002,0,0,0,0,0,0.000419111,0,0.000175747,0,0.000160102,0,0.000271003,0.00087822,0.000128172,0,0,0,0,0,0,0,0,0,0,0.000802568,0,0,0,0.000274725,0,0.000452148,0,0,0.001251564,0,0,0,0,0,0,0,0.001281723,0,0,0,0.00021777,0,0,0.000279916,0,0,0.001309929,0,0.000550914,9.52E-05,0,0,0,0,0.000515375,0.001444391,0,0,0,0.000225683,0,0.002902758,0,0,0.000924784,0,0,0.000436967,0.000317813,0,0,0,0,0,0,0
Root;k__Bacteria;p__Acidobacteria,0,0,0.000127097,0.000173883,0,0,0,0,0.000157245,0.000282725,0,0,0,0,0,0,0.000616143,0,0,0.000227376,0,0,0,0,0,0.000105708,0,0,0,0,0,0,0.000208377,0.000354925,0,0,0,0,0.0001554,0,0,0,0.000386997,0,0,0,0,0,0,0,0,0,0,0,0.000209468,0,0,0,0,0,0,0,0,0.000384517,0,0,0,0,0,0,0.000684697,0,0,0,0.005617978,0,0,0,0,0,0.000150716,0,0,8.94E-05,0.000451569,0.000326477,0,0.000304275,0.000229279,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000379651,0,9.52E-05,0,0.000212269,0,0,0,0,0,0.00022242,0,0,0,0,0,0.00017325,0.000616523,0,0.000689655,0,0,0.000237643,0,0.000228676,0,0,0.00030525,0
Root;k__Bacteria;p__Actinobacteria,0.005376344,0.000143349,0.016522623,0.016344983,0,0.001424907,0.015873016,0.004560531,0.032471106,0.08368674,0.012688532,0,0.007383101,0.001171875,0.061099796,0.000572902,0.013965907,0.000305717,0.319070081,0.002273761,0.000268312,0.014140988,0.002339865,0.00220227,0.000376081,0.002325581,0.65268886,0.081632653,0.03030303,0.003160667,0.009763618,0.032572655,0.001875391,0.053593611,0.036990856,0.000915416,0.008658009,0.005789643,0.011344211,0.001643655,0.005540166,0.062818336,0.001160991,0.004238921,0.021691176,0.001070435,0.000884564,0.001587302,0,0.005528256,0.000769428,0.010181496,0.011189855,0.003972402,0.037075827,0.004191115,0,0.001054482,0.002828854,0.036663465,0,0.000813008,0,0.007433991,0.046372068,0.053030303,0.022285714,0.00909244,0.000701016,0.001296344,0.001369394,0.012921941,0.000255428,0.012763596,0.001605136,0.136206354,0.00080048,0.000643915,0.000274725,0.002009916,0.00331575,0,0.035053554,0.116842482,0,0.131570356,0.032910628,0.047162635,0.000229279,0.007608946,0.108692053,0.067674955,0,0.065109344,0.476190476,0.016332753,0,0,0.014415675,0.095410005,0.006618342,0.003667802,0.011769172,0.074556974,0.008286503,0.000425955,0.039269794,0.005059022,0.002525253,0.001546126,0.000962927,0.135949267,0.012233096,0.001322168,0.001354096,0,0.069666183,0.000669792,0.186936937,0.014180025,0,0.001724138,0.001966354,0.00047672,0.196055133,0.027345999,0.000457352,0.006736275,0.026406998,0.006105006,0.015126663
Root;k__Bacteria;p__Bacteroidetes,0.405913978,0.34790711,0.435815963,0.005216484,0.486631016,0.480478769,0.007936508,0.045190713,0.337919648,0.340684196,0.416327508,0.113245703,0.221493027,0.110546875,0.081720978,0.26553996,0.151776545,0.418526445,0.026280323,0.012050932,0.186477059,0.502532714,0.022228722,0.066576317,0.015795412,0.05243129,0.012483995,0.176870748,0,0.018437226,0.050017129,0.216305832,0.297145239,0.051641526,0.172485453,0.00530941,0.022366522,0.004503056,0.03030303,0.022682446,0.033240997,0.055178268,0.19253096,0.118689788,0.232720588,0.258188825,0.026536931,0.216402116,0.058842239,0.142506143,0.259810208,0.009738822,0.050727341,0.034706251,0.313364055,0.174769489,0.047619048,0.077680141,0.030410184,0.000800512,0,0.005691057,0.017271663,0.138682389,0.015548282,0.189393939,0.067428571,0.010102711,0.038906414,0.087892144,0.081478946,0.014504219,0.005363985,0.013318535,0.253611557,0.025951557,0.172903742,0.285683623,0.041208791,0.078520702,0.02758101,0.06316726,0.012658228,0.061326658,0.203657711,0.015670911,0.164855072,0.075003803,0.223088387,0.023518561,0.024337748,0.00794668,0.011527378,0.038270378,0.015873016,0.014590592,0.107940161,0.131578947,0.010076977,0.288292935,0.265994327,0.038773906,0.106302202,0.191534294,0.450614344,0.001561834,0.010401189,0.033726813,0.025252525,0.377426559,0.022147328,0.027744748,0.134119217,0.223226091,0.123448432,0.075174825,0.076923077,0.203170351,0.077789328,0.141183724,0,0.042758621,0.28577671,0.022882568,0.109315589,0.149683362,0.041619026,0.06028966,0.385212081,0.455128205,0.262802989
Root;k__Bacteria;p__Chloroflexi,0,0,0.000381291,0,0,0,0,0,0.000157245,0,0,0,0,0,0.000254582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000183083,0,0,0,0,0,0,0,0,0,0,0.000147427,0,0,0,0,0,0,0.000209074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00020012,0,0,0,0,0,0,0.000178795,0,0,0,0.000304275,0.000114639,0,0,0,0,0,0,0,0,0,0,0.000257865,0,0.000261986,0.000189825,0,9.52E-05,0,0,0,0,0.000171792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000165044,0,0
Root;k__Bacteria;p__Cyanobacteria,0.001344086,0,0,0,0,0,0,0,0.001415206,0,0.000718219,0,0,0,0,0.000286451,0,0,0,0,0,0.00021106,0,0,0,0.000105708,0,0,0,0,0,0,0.000416753,0,0,0,0,0,0,0,0.0012785,0,0.001160991,0,0,0,0,0.000529101,0,0,0,0,0,0,0.000418936,0,0,0.000175747,0,0,0,0,0,0,0.000818331,0,0,0.000168379,0,0,0,0,0,0,0,0,0.00020012,0,0,0,0.000452148,0,0,0,0.000225785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000379651,0,9.52E-05,0,0,0,0,0.000171792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000915751,0
Root;k__Bacteria;p__Firmicutes,0.409946237,0.632024083,0.53202847,0.973395931,0.50802139,0.51353662,0.944444444,0.945273632,0.613570249,0.538026576,0.556380177,0.88372093,0.765654908,0.871484375,0.848523422,0.711257519,0.823372356,0.564353409,0.635781671,0.954524784,0.800107325,0.450401013,0.671248903,0.921565306,0.960887552,0.89038055,0.333546735,0.741496599,0.96969697,0.971202809,0.937307297,0.745465184,0.687851636,0.872227152,0.788445553,0.992127426,0.965848966,0.98070119,0.954001554,0.94017094,0.941828255,0.865874363,0.61745356,0.821579961,0.740441176,0.65253693,0.971841368,0.765079365,0.93956743,0.830159705,0.724801231,0.979637008,0.934352853,0.959230608,0.642647675,0.790444258,0.857142857,0.522671353,0.962164074,0.956612232,0.882352941,0.788075881,0.976288056,0.807613432,0.934260775,0.71969697,0.900571429,0.720323287,0.95022783,0.899403682,0.914070524,0.967563291,0.820178799,0.967258602,0.703049759,0.828247877,0.810086052,0.709165057,0.955494505,0.62427978,0.965636775,0.933274021,0.946445959,0.815304845,0.794536013,0.846065948,0.783514493,0.866271109,0.770835722,0.959418953,0.855463576,0.911817483,0.988472622,0.896620278,0.444444444,0.959494774,0.888377445,0.868421053,0.973827852,0.614234141,0.719508352,0.946554886,0.873196659,0.728124139,0.523764168,0.914383075,0.93440883,0.959527825,0.945707071,0.586325374,0.974482427,0.835116924,0.831850534,0.578669017,0.87248928,0.923076923,0.847605225,0.713775396,0.727823978,0.827681874,1,0.941724138,0.7006773,0.969331003,0.685836502,0.820955671,0.71369769,0.886493769,0.575507509,0.530830281,0.699289229
