microb,taxid
Root;k__Archaea,2157
Root;k__Bacteria,2
Root;k__Archaea;p__Euryarchaeota,28890
Root;k__Bacteria;p__,2
Root;k__Bacteria;p__Acidobacteria,57723
Root;k__Bacteria;p__Actinobacteria,1760
Root;k__Bacteria;p__Actinobacteria,201174
Root;k__Bacteria;p__Bacteroidetes,976
Root;k__Bacteria;p__Chloroflexi,200795
Root;k__Bacteria;p__Cyanobacteria,NA
Root;k__Bacteria;p__Firmicutes,1239
Root;k__Bacteria;p__Fusobacteria,32066
Root;k__Bacteria;p__Planctomycetes,203682
Root;k__Bacteria;p__Proteobacteria,1224
Root;k__Bacteria;p__Synergistetes,508458
Root;k__Bacteria;p__Tenericutes,NA
Root;k__Bacteria;p__Verrucomicrobia,74201
Root;k__Archaea;p__Euryarchaeota;c__[Parvarchaea],NA
Root;k__Bacteria;p__;c__,2
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria,201174
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria,1760
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia,200643
Root;k__Bacteria;p__Bacteroidetes;c__Flavobacteriia,117743
Root;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia,117747
Root;k__Bacteria;p__Firmicutes;c__Bacilli,91061
Root;k__Bacteria;p__Firmicutes;c__Clostridia,186801
Root;k__Bacteria;p__Firmicutes;c__Erysipelotrichi,NA
Root;k__Bacteria;p__Firmicutes;c__RF3,NA
Root;k__Bacteria;p__Fusobacteria;c__Fusobacteria,32066
Root;k__Bacteria;p__Planctomycetes;c__Phycisphaerae,NA
Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,28211
Root;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,28216
Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,NA
Root;k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria,29547
Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,1236
Root;k__Bacteria;p__Synergistetes;c__Synergistia,649775
Root;k__Bacteria;p__Tenericutes;c__Mollicutes,NA
Root;k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae,203494
Root;k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae],NA
Root;k__Archaea;p__Euryarchaeota;c__[Parvarchaea];o__YLA114,NA
Root;k__Bacteria;p__;c__;o__,2
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales,2037
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales,85004
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales,171549
Root;k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales,200644
Root;k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales,200666
Root;k__Bacteria;p__Firmicutes;c__Bacilli;o__,91061
Root;k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales,1385
Root;k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales,NA
Root;k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales,186826
Root;k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales,NA
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__,186801
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,186802
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Coriobacteriales,84999
Root;k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales,526525
Root;k__Bacteria;p__Firmicutes;c__RF3;o__,NA
Root;k__Bacteria;p__Fusobacteria;c__Fusobacteria;o__Fusobacteriales,203491
Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32,NA
Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales,204455
Root;k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales,204441
Root;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales,80840
Root;k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales,206351
Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales,213115
Root;k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales,NA
Root;k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales,213849
Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales,135624
Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales,135622
