"pathwayName","sourceId.x","type.x","metabolite"
"Arachidonic Acid Metabolism","SMP00075","hmdb","PC(14:0_20:4)"
"Lumiracoxib Action Pathway","SMP00699","hmdb","PC(14:0_20:4)"
"Diflunisal Pathway","SMP00289","hmdb","PC(14:0_20:4)"
"Nabumetone Pathway","SMP00114","hmdb","PC(14:0_20:4)"
"Salsalate Action Pathway","SMP00707","hmdb","PC(14:0_20:4)"
"Diclofenac Pathway","SMP00093","hmdb","PC(14:0_20:4)"
"Phenylbutazone Action Pathway","SMP00701","hmdb","PC(14:0_20:4)"
"Rofecoxib Pathway","SMP00087","hmdb","PC(14:0_20:4)"
"Lornoxicam Action Pathway","SMP00700","hmdb","PC(14:0_20:4)"
"Mefanamic Acid Pathway","SMP00109","hmdb","PC(14:0_20:4)"
"Salicylic Acid Action Pathway","SMP00709","hmdb","PC(14:0_20:4)"
"Acetylsalicylic Acid Pathway","SMP00083","hmdb","PC(14:0_20:4)"
"Celecoxib Pathway","SMP00096","hmdb","PC(14:0_20:4)"
"Naproxen Pathway","SMP00120","hmdb","PC(14:0_20:4)"
"Metachromatic Leukodystrophy (MLD)","SMP00347","hmdb","PC(15:0_18:2)"
"Ketoprofen Pathway","SMP00085","hmdb","PC(14:0_20:4)"
"Meloxicam Pathway","SMP00106","hmdb","PC(14:0_20:4)"
"Antipyrine Action Pathway","SMP00692","hmdb","PC(14:0_20:4)"
"Suprofen Pathway","SMP00101","hmdb","PC(14:0_20:4)"
"Indomethacin Pathway","SMP00104","hmdb","PC(14:0_20:4)"
"Etodolac Pathway","SMP00084","hmdb","PC(14:0_20:4)"
"Oxaprozin Pathway","SMP00113","hmdb","PC(14:0_20:4)"
"Magnesium salicylate Action Pathway","SMP00698","hmdb","PC(14:0_20:4)"
"Acetaminophen  Action Pathway","SMP00710","hmdb","PC(14:0_20:4)"
"Carprofen Action Pathway","SMP00694","hmdb","PC(14:0_20:4)"
"Valdecoxib Pathway","SMP00116","hmdb","PC(14:0_20:4)"
"Flurbiprofen Action Pathway","SMP00697","hmdb","PC(14:0_20:4)"
